lon,lat,de,dn
165.5,-48,-0.02301483048,0.033811380906
165.6,-48,-0.024726064384,0.032818904724
165.7,-48,-0.026437298288,0.031826428544
165.8,-48,-0.028148532192,0.030833952362
165.9,-48,-0.029859766096,0.029841476182
166,-48,-0.031571,0.028849
166.1,-48,-0.0316084,0.0288796
166.2,-48,-0.0316458,0.0289102
166.3,-48,-0.0316832,0.0289408
166.4,-48,-0.0317206,0.0289714
166.5,-48,-0.031758,0.029002
166.6,-48,-0.0317956,0.029032
166.7,-48,-0.0318332,0.029062
166.8,-48,-0.0318708,0.029092
166.9,-48,-0.0319084,0.029122
167,-48,-0.031946,0.029152
167.1,-48,-0.0319838,0.0291816
167.2,-48,-0.0320216,0.0292112
167.3,-48,-0.0320594,0.0292408
167.4,-48,-0.0320972,0.0292704
167.5,-48,-0.032135,0.0293
167.6,-48,-0.032173,0.029329
167.7,-48,-0.032211,0.029358
167.8,-48,-0.032249,0.029387
167.9,-48,-0.032287,0.029416
168,-48,-0.032325,0.029445
168.1,-48,-0.0323632,0.0294738
168.2,-48,-0.0324014,0.0295026
168.3,-48,-0.0324396,0.0295314
168.4,-48,-0.0324778,0.0295602
168.5,-48,-0.032516,0.029589
168.6,-48,-0.0325544,0.0296172
168.7,-48,-0.0325928,0.0296454
168.8,-48,-0.0326312,0.0296736
168.9,-48,-0.0326696,0.0297018
169,-48,-0.032708,0.02973
169.1,-48,-0.0327466,0.0297578
169.2,-48,-0.0327852,0.0297856
169.3,-48,-0.0328238,0.0298134
169.4,-48,-0.0328624,0.0298412
169.5,-48,-0.032901,0.029869
169.6,-48,-0.0329396,0.0298962
169.7,-48,-0.0329782,0.0299234
169.8,-48,-0.0330168,0.0299506
169.9,-48,-0.0330554,0.0299778
170,-48,-0.033094,0.030005
170.1,-48,-0.033133,0.030032
170.2,-48,-0.033172,0.030059
170.3,-48,-0.033211,0.030086
170.4,-48,-0.03325,0.030113
170.5,-48,-0.033289,0.03014
170.6,-48,-0.033328,0.0301664
170.7,-48,-0.033367,0.0301928
170.8,-48,-0.033406,0.0302192
170.9,-48,-0.033445,0.0302456
171,-48,-0.033484,0.030272
171.1,-48,-0.0335232,0.0302978
171.2,-48,-0.0335624,0.0303236
171.3,-48,-0.0336016,0.0303494
