lon,lat,de,dn
158,-58,-0.017214,0.026107
158.5,-58,-0.017408,0.026293
159,-58,-0.017603,0.026477
159.5,-58,-0.017799,0.026659
160,-58,-0.017996,0.026839
160.5,-58,-0.018195,0.027016
161,-58,-0.018396,0.027192
161.5,-58,-0.018597,0.027366
162,-58,-0.0188,0.027537
162.5,-58,-0.019004,0.027707
163,-58,-0.019209,0.027874
163.5,-58,-0.019416,0.028039
164,-58,-0.019623,0.028202
164.5,-58,-0.019832,0.028363
165,-58,-0.020042,0.028522
165.5,-58,-0.020254,0.028679
166,-58,-0.020466,0.028833
166.5,-58,-0.02068,0.028985
167,-58,-0.020894,0.029135
167.5,-58,-0.02111,0.029283
168,-58,-0.021327,0.029429
168.5,-58,-0.021545,0.029572
169,-58,-0.021764,0.029713
169.5,-58,-0.021984,0.029852
170,-58,-0.022205,0.029988
170.5,-58,-0.022427,0.030123
171,-58,-0.02265,0.030255
171.5,-58,-0.022874,0.030384
172,-58,-0.023099,0.030512
172.5,-58,-0.023324,0.030637
173,-58,-0.023551,0.030759
173.5,-58,-0.023779,0.03088
174,-58,-0.024007,0.030998
174.5,-58,-0.024237,0.031113
175,-58,-0.024467,0.031227
175.5,-58,-0.024698,0.031337
176,-58,-0.02493,0.031446
176.5,-58,-0.025163,0.031552
177,-58,-0.025396,0.031656
177.5,-58,-0.02563,0.031757
178,-58,-0.025865,0.031856
178.5,-58,-0.026101,0.031952
179,-58,-0.026337,0.032046
179.5,-58,-0.026574,0.032138
180,-58,-0.026812,0.032227
180.5,-58,-0.02705,0.032314
181,-58,-0.027289,0.032398
181.5,-58,-0.027529,0.03248
182,-58,-0.027769,0.032559
182.5,-58,-0.02801,0.032636
183,-58,-0.028251,0.03271
183.5,-58,-0.028493,0.032782
184,-58,-0.028736,0.032851
184.5,-58,-0.028979,0.032918
185,-58,-0.029222,0.032982
185.5,-58,-0.029466,0.033044
186,-58,-0.02971,0.033103
186.5,-58,-0.029955,0.03316
187,-58,-0.0302,0.033214
187.5,-58,-0.030446,0.033266
188,-58,-0.030692,0.033315
188.5,-58,-0.030938,0.033362
189,-58,-0.031184,0.033406
189.5,-58,-0.031431,0.033447
190,-58,-0.031678,0.033486
190.5,-58,-0.031926,0.033523
191,-58,-0.032174,0.033557
191.5,-58,-0.032422,0.033588
192,-58,-0.03267,0.033617
192.5,-58,-0.032918,0.033643
193,-58,-0.033167,0.033667
193.5,-58,-0.033416,0.033688
194,-58,-0.033665,0.033706
158,-57.5,-0.01742170001,0.027070504306
158.5,-57.5,-0.017998,0.026294
159,-57.5,-0.018192,0.026478
159.5,-57.5,-0.018387,0.026659
160,-57.5,-0.018583,0.026839
160.5,-57.5,-0.018781,0.027017
161,-57.5,-0.01898,0.027193
161.5,-57.5,-0.019181,0.027366
162,-57.5,-0.019382,0.027538
162.5,-57.5,-0.019585,0.027707
163,-57.5,-0.019789,0.027875
163.5,-57.5,-0.019995,0.02804
164,-57.5,-0.020201,0.028203
164.5,-57.5,-0.020409,0.028364
165,-57.5,-0.020618,0.028523
165.5,-57.5,-0.020828,0.028679
166,-57.5,-0.021039,0.028834
166.5,-57.5,-0.021252,0.028986
167,-57.5,-0.021465,0.029136
167.5,-57.5,-0.02168,0.029284
168,-57.5,-0.021895,0.029429
168.5,-57.5,-0.022112,0.029573
169,-57.5,-0.02233,0.029714
169.5,-57.5,-0.022549,0.029853
170,-57.5,-0.022768,0.029989
170.5,-57.5,-0.022989,0.030123
171,-57.5,-0.023211,0.030255
171.5,-57.5,-0.023434,0.030385
172,-57.5,-0.023657,0.030512
172.5,-57.5,-0.023882,0.030637
173,-57.5,-0.024107,0.03076
