lon,lat,de,dn,du
168.1,-46.75,0.0,0.0,0.0
168.25,-46.75,0.0,0.0,0.0
168.4,-46.75,0.0,0.0,0.0
168.55,-46.75,0.0,0.0,0.0
168.7,-46.75,0.0,0.0,0.0
168.85,-46.75,0.0,0.0,0.0
169,-46.75,0.0,0.0,0.0
169.15,-46.75,0.0,0.0,0.0
169.3,-46.75,0.0,0.0,0.0
169.45,-46.75,0.0,0.0,0.0
169.6,-46.75,0.0,0.0,0.0
169.75,-46.75,0.0,0.0,0.0
169.9,-46.75,0.0,0.0,0.0
170.05,-46.75,0.0,0.0,0.0
170.2,-46.75,0.0,0.0,0.0
170.35,-46.75,0.0,0.0,0.0
170.5,-46.75,0.0,0.0,0.0
170.65,-46.75,0.0,0.0,0.0
170.8,-46.75,0.0,0.0,0.0
170.95,-46.75,0.0,0.0,0.0
171.1,-46.75,0.0,0.0,0.0
171.25,-46.75,0.0,0.0,0.0
171.4,-46.75,0.0,0.0,0.0
171.55,-46.75,0.0,0.0,0.0
171.7,-46.75,0.0,0.0,0.0
171.85,-46.75,0.0,0.0,0.0
172,-46.75,0.0,0.0,0.0
172.15,-46.75,0.0,0.0,0.0
172.3,-46.75,0.0,0.0,0.0
172.45,-46.75,0.0,0.0,0.0
172.6,-46.75,0.0,0.0,0.0
172.75,-46.75,0.0,0.0,0.0
172.9,-46.75,0.0,0.0,0.0
173.05,-46.75,0.0,0.0,0.0
173.2,-46.75,0.0,0.0,0.0
173.35,-46.75,0.0,0.0,0.0
173.5,-46.75,0.0,0.0,0.0
173.65,-46.75,0.0,0.0,0.0
173.8,-46.75,0.0,0.0,0.0
173.95,-46.75,0.0,0.0,0.0
174.1,-46.75,0.0,0.0,0.0
174.25,-46.75,0.0,0.0,0.0
174.4,-46.75,0.0,0.0,0.0
174.55,-46.75,0.0,0.0,0.0
174.7,-46.75,0.0,0.0,0.0
174.85,-46.75,0.0,0.0,0.0
175,-46.75,0.0,0.0,0.0
175.15,-46.75,0.0,0.0,0.0
175.3,-46.75,0.0,0.0,0.0
175.45,-46.75,0.0,0.0,0.0
175.6,-46.75,0.0,0.0,0.0
175.75,-46.75,0.0,0.0,0.0
175.9,-46.75,0.0,0.0,0.0
176.05,-46.75,0.0,0.0,0.0
176.2,-46.75,0.0,0.0,0.0
168.1,-46.625,0.0,0.0,0.0
168.25,-46.625,-0.00004,-0.00004,-0.00002
168.4,-46.625,-0.00006,-0.00008,-0.00004
168.55,-46.625,-0.00010,-0.00012,-0.00006
168.7,-46.625,-0.00014,-0.00014,-0.00008
168.85,-46.625,-0.00016,-0.00018,-0.00010
169,-46.625,-0.00020,-0.00022,-0.00012
169.15,-46.625,-0.00022,-0.00026,-0.00014
169.3,-46.625,-0.00026,-0.00030,-0.00016
169.45,-46.625,-0.00028,-0.00032,-0.00018
169.6,-46.625,-0.00032,-0.00038,-0.00020
169.75,-46.625,-0.00038,-0.00044,-0.00024
169.9,-46.625,-0.00040,-0.00044,-0.00024
170.05,-46.625,-0.00038,-0.00044,-0.00024
170.2,-46.625,-0.00034,-0.00038,-0.00020
170.35,-46.625,-0.00028,-0.00032,-0.00016
170.5,-46.625,-0.00026,-0.00028,-0.00014
170.65,-46.625,-0.00026,-0.00024,-0.00012
170.8,-46.625,-0.00026,-0.00022,-0.00012
170.95,-46.625,-0.00026,-0.00020,-0.00010
171.1,-46.625,-0.00028,-0.00018,-0.00010
171.25,-46.625,-0.00030,-0.00016,-0.00008
171.4,-46.625,-0.00032,-0.00014,-0.00008
171.55,-46.625,-0.00036,-0.00012,-0.00006
171.7,-46.625,-0.00038,-0.00010,-0.00006
171.85,-46.625,-0.00042,-0.00008,-0.00004
172,-46.625,-0.00044,-0.00006,-0.00004
172.15,-46.625,-0.00046,-0.00002,-0.00002
172.3,-46.625,-0.00048,0.00000,-0.00002
172.45,-46.625,-0.00048,0.00002,0.00000
172.6,-46.625,-0.00050,0.00004,0.00000
172.75,-46.625,-0.00050,0.00006,0.00002
172.9,-46.625,-0.00048,0.00008,0.00002
173.05,-46.625,-0.00046,0.00010,0.00002
173.2,-46.625,-0.00044,0.00012,0.00004
173.35,-46.625,-0.00042,0.00012,0.00004
173.5,-46.625,-0.00036,0.00012,0.00004
173.65,-46.625,-0.00032,0.00010,0.00004
173.8,-46.625,-0.00024,0.00008,0.00002
173.95,-46.625,-0.00012,0.00004,0.00002
174.1,-46.625,0.0,0.0,0.0
174.25,-46.625,0.0,0.0,0.0
174.4,-46.625,0.0,0.0,0.0
174.55,-46.625,0.0,0.0,0.0
174.7,-46.625,0.0,0.0,0.0
174.85,-46.625,0.0,0.0,0.0
