lon,lat,de,dn,du
172.67265625,-43.525390625,-0.00956,-0.01846,0.00350
172.675,-43.525390625,-0.01046,-0.01960,0.00384
172.67734375,-43.525390625,-0.01148,-0.02106,0.00430
172.6796875,-43.525390625,-0.01250,-0.02254,0.00478
172.68203125,-43.525390625,-0.01352,-0.02400,0.00524
172.684375,-43.525390625,-0.01454,-0.02548,0.00572
172.68671875,-43.525390625,-0.01562,-0.02732,0.00636
172.6890625,-43.525390625,-0.01670,-0.02918,0.00702
172.69140625,-43.525390625,-0.01778,-0.03104,0.00766
172.69375,-43.525390625,-0.01888,-0.03290,0.00832
172.69609375,-43.525390625,-0.01990,-0.03514,0.00916
172.6984375,-43.525390625,-0.02094,-0.03740,0.01002
172.70078125,-43.525390625,-0.02198,-0.03964,0.01086
172.703125,-43.525390625,-0.02300,-0.04190,0.01172
172.70546875,-43.525390625,-0.02382,-0.04448,0.01276
172.7078125,-43.525390625,-0.02462,-0.04706,0.01380
172.71015625,-43.525390625,-0.02544,-0.04966,0.01484
172.7125,-43.525390625,-0.02624,-0.05224,0.01588
172.71484375,-43.525390625,-0.02662,-0.05496,0.01704
172.7171875,-43.525390625,-0.02700,-0.05766,0.01820
172.71953125,-43.525390625,-0.02738,-0.06038,0.01936
172.721875,-43.525390625,-0.02776,-0.06310,0.02052
172.72421875,-43.525390625,-0.02754,-0.06560,0.02166
172.7265625,-43.525390625,-0.02732,-0.06810,0.02280
172.72890625,-43.525390625,-0.02710,-0.07060,0.02396
172.73125,-43.525390625,-0.02686,-0.07310,0.02510
172.73359375,-43.525390625,-0.02600,-0.07492,0.02602
172.7359375,-43.525390625,-0.02512,-0.07676,0.02696
172.73828125,-43.525390625,-0.02426,-0.07860,0.02790
172.740625,-43.525390625,-0.02338,-0.08044,0.02882
172.74296875,-43.525390625,-0.02202,-0.08122,0.02934
172.7453125,-43.525390625,-0.02064,-0.08198,0.02986
172.74765625,-43.525390625,-0.01926,-0.08276,0.03038
172.75,-43.525390625,-0.01788,-0.08352,0.03088
172.75234375,-43.525390625,-0.01632,-0.08302,0.03088
172.7546875,-43.525390625,-0.01474,-0.08250,0.03086
172.75703125,-43.525390625,-0.01318,-0.08198,0.03084
172.759375,-43.525390625,-0.01160,-0.08146,0.03082
172.76171875,-43.525390625,-0.01020,-0.07972,0.03026
172.7640625,-43.525390625,-0.00880,-0.07798,0.02970
172.76640625,-43.525390625,-0.00740,-0.07624,0.02914
172.76875,-43.525390625,-0.00600,-0.07448,0.02858
172.77109375,-43.525390625,-0.00504,-0.07182,0.02762
172.7734375,-43.525390625,-0.00408,-0.06916,0.02664
172.77578125,-43.525390625,-0.00312,-0.06648,0.02566
172.778125,-43.525390625,-0.00216,-0.06382,0.02468
172.78046875,-43.525390625,-0.00178,-0.06064,0.02348
172.7828125,-43.525390625,-0.00140,-0.05748,0.02228
172.78515625,-43.525390625,-0.00102,-0.05430,0.02108
172.7875,-43.525390625,-0.00064,-0.05114,0.01986
172.78984375,-43.525390625,-0.00078,-0.04788,0.01862
172.7921875,-43.525390625,-0.00094,-0.04464,0.01738
172.79453125,-43.525390625,-0.00110,-0.04138,0.01612
172.796875,-43.525390625,-0.00124,-0.03812,0.01488
172.79921875,-43.525390625,-0.00180,-0.03512,0.01374
172.8015625,-43.525390625,-0.00236,-0.03210,0.01258
172.80390625,-43.525390625,-0.00292,-0.02910,0.01144
172.80625,-43.525390625,-0.00348,-0.02608,0.01030
172.80859375,-43.525390625,-0.00426,-0.02352,0.00934
172.8109375,-43.525390625,-0.00506,-0.02096,0.00838
172.81328125,-43.525390625,-0.00586,-0.01840,0.00742
172.815625,-43.525390625,-0.00664,-0.01584,0.00646
172.81796875,-43.525390625,-0.00750,-0.01378,0.00574
172.8203125,-43.525390625,-0.00836,-0.01174,0.00500
172.82265625,-43.525390625,-0.00922,-0.00970,0.00428
172.825,-43.525390625,-0.01008,-0.00766,0.00354
172.82734375,-43.525390625,-0.01090,-0.00614,0.00302
172.8296875,-43.525390625,-0.01170,-0.00460,0.00250
172.83203125,-43.525390625,-0.01252,-0.00308,0.00200
172.834375,-43.525390625,-0.01332,-0.00156,0.00148
172.83671875,-43.525390625,-0.01400,-0.00048,0.00114
172.8390625,-43.525390625,-0.01468,0.00058,0.00080
172.84140625,-43.525390625,-0.01536,0.00166,0.00046
172.84375,-43.525390625,-0.01606,0.00274,0.00012
172.84609375,-43.525390625,-0.01656,0.00344,-0.00006
172.8484375,-43.525390625,-0.01708,0.00414,-0.00026
172.85078125,-43.525390625,-0.01760,0.00484,-0.00046
172.853125,-43.525390625,-0.01812,0.00554,-0.00064
172.85546875,-43.525390625,-0.01846,0.00596,-0.00074
172.67265625,-43.5234375,-0.00930,-0.01814,0.00360
172.675,-43.5234375,-0.01024,-0.01928,0.00394
172.67734375,-43.5234375,-0.01132,-0.02078,0.00444
172.6796875,-43.5234375,-0.01240,-0.02228,0.00494
172.68203125,-43.5234375,-0.01348,-0.02378,0.00542
172.684375,-43.5234375,-0.01456,-0.02528,0.00592
172.68671875,-43.5234375,-0.01572,-0.02720,0.00662
172.6890625,-43.5234375,-0.01690,-0.02912,0.00732
172.69140625,-43.5234375,-0.01806,-0.03104,0.00800
172.69375,-43.5234375,-0.01922,-0.03296,0.00870
172.69609375,-43.5234375,-0.02036,-0.03532,0.00962
172.6984375,-43.5234375,-0.02148,-0.03768,0.01054
172.70078125,-43.5234375,-0.02262,-0.04002,0.01144
172.703125,-43.5234375,-0.02374,-0.04238,0.01236
172.70546875,-43.5234375,-0.02464,-0.04512,0.01350
172.7078125,-43.5234375,-0.02556,-0.04786,0.01462
172.71015625,-43.5234375,-0.02646,-0.05058,0.01576
172.7125,-43.5234375,-0.02736,-0.05332,0.01688
172.71484375,-43.5234375,-0.02782,-0.05622,0.01816
172.7171875,-43.5234375,-0.02828,-0.05914,0.01944
172.71953125,-43.5234375,-0.02872,-0.06204,0.02070
172.721875,-43.5234375,-0.02918,-0.06494,0.02198
172.72421875,-43.5234375,-0.02898,-0.06764,0.02324
172.7265625,-43.5234375,-0.02878,-0.07034,0.02452
172.72890625,-43.5234375,-0.02858,-0.07304,0.02578
172.73125,-43.5234375,-0.02838,-0.07574,0.02704
172.73359375,-43.5234375,-0.02746,-0.07774,0.02808
172.7359375,-43.5234375,-0.02656,-0.07976,0.02912
172.73828125,-43.5234375,-0.02564,-0.08176,0.03014
172.740625,-43.5234375,-0.02474,-0.08376,0.03118
172.74296875,-43.5234375,-0.02328,-0.08462,0.03176
172.7453125,-43.5234375,-0.02180,-0.08548,0.03234
172.74765625,-43.5234375,-0.02034,-0.08632,0.03290
172.75,-43.5234375,-0.01884,-0.08718,0.03338
172.75234375,-43.5234375,-0.01716,-0.08668,0.03334
172.7546875,-43.5234375,-0.01546,-0.08618,0.03332
172.75703125,-43.5234375,-0.01378,-0.08562,0.03330
172.759375,-43.5234375,-0.01210,-0.08504,0.03326
172.76171875,-43.5234375,-0.01060,-0.08318,0.03270
172.7640625,-43.5234375,-0.00914,-0.08128,0.03216
172.76640625,-43.5234375,-0.00766,-0.07942,0.03154
172.76875,-43.5234375,-0.00616,-0.07756,0.03092
172.77109375,-43.5234375,-0.00514,-0.07470,0.02984
172.7734375,-43.5234375,-0.00414,-0.07184,0.02876
172.77578125,-43.5234375,-0.00312,-0.06900,0.02768
172.778125,-43.5234375,-0.00212,-0.06614,0.02660
172.78046875,-43.5234375,-0.00174,-0.06276,0.02526
172.7828125,-43.5234375,-0.00134,-0.05938,0.02394
172.78515625,-43.5234375,-0.00096,-0.05600,0.02260
172.7875,-43.5234375,-0.00058,-0.05262,0.02128
172.78984375,-43.5234375,-0.00078,-0.04918,0.01990
172.7921875,-43.5234375,-0.00096,-0.04572,0.01854
172.79453125,-43.5234375,-0.00116,-0.04228,0.01716
172.796875,-43.5234375,-0.00134,-0.03884,0.01580
172.79921875,-43.5234375,-0.00196,-0.03568,0.01456
172.8015625,-43.5234375,-0.00258,-0.03250,0.01330
172.80390625,-43.5234375,-0.00318,-0.02934,0.01206
172.80625,-43.5234375,-0.00380,-0.02618,0.01082
172.80859375,-43.5234375,-0.00466,-0.02350,0.00978
172.8109375,-43.5234375,-0.00552,-0.02084,0.00874
172.81328125,-43.5234375,-0.00638,-0.01816,0.00772
172.815625,-43.5234375,-0.00724,-0.01550,0.00668
172.81796875,-43.5234375,-0.00816,-0.01338,0.00590
172.8203125,-43.5234375,-0.00908,-0.01128,0.00510
172.82265625,-43.5234375,-0.00998,-0.00916,0.00432
172.825,-43.5234375,-0.01090,-0.00706,0.00354
172.82734375,-43.5234375,-0.01176,-0.00550,0.00300
172.8296875,-43.5234375,-0.01260,-0.00396,0.00244
172.83203125,-43.5234375,-0.01346,-0.00240,0.00190
172.834375,-43.5234375,-0.01430,-0.00086,0.00136
172.83671875,-43.5234375,-0.01500,0.00022,0.00100
172.8390625,-43.5234375,-0.01572,0.00130,0.00064
172.84140625,-43.5234375,-0.01642,0.00236,0.00030
172.84375,-43.5234375,-0.01712,0.00344,-0.00006
172.84609375,-43.5234375,-0.01764,0.00414,-0.00026
172.8484375,-43.5234375,-0.01816,0.00482,-0.00046
172.85078125,-43.5234375,-0.01868,0.00552,-0.00064
172.853125,-43.5234375,-0.01920,0.00620,-0.00084
172.85546875,-43.5234375,-0.01954,0.00660,-0.00094
172.67265625,-43.521484375,-0.00872,-0.01760,0.00362
172.675,-43.521484375,-0.00968,-0.01874,0.00396
172.67734375,-43.521484375,-0.01082,-0.02026,0.00448
