lon,lat,de,dn,du
178.15,-50,0.0,0.0,0.0
178.3,-50,0.0,0.0,0.0
178.45,-50,0.0,0.0,0.0
178.6,-50,0.0,0.0,0.0
178.75,-50,0.0,0.0,0.0
178.9,-50,0.0,0.0,0.0
178.15,-49.875,0.0,0.0,0.0
178.3,-49.875,-0.00026,0.00004,0.00004
178.45,-49.875,-0.00052,0.00008,0.00008
178.6,-49.875,-0.00040,0.00006,0.00006
178.75,-49.875,-0.00020,0.00004,0.00004
178.9,-49.875,0.0,0.0,0.0
178.15,-49.75,0.0,0.0,0.0
178.3,-49.75,-0.00054,0.00008,0.00008
178.45,-49.75,-0.00138,0.00020,0.00022
178.6,-49.75,-0.00090,0.00014,0.00016
178.75,-49.75,-0.00044,0.00006,0.00008
178.9,-49.75,0.0,0.0,0.0
178.15,-49.625,0.0,0.0,0.0
178.3,-49.625,-0.00048,0.00006,0.00008
178.45,-49.625,-0.00102,0.00014,0.00018
178.6,-49.625,-0.00140,0.00020,0.00024
178.75,-49.625,-0.00060,0.00008,0.00010
178.9,-49.625,0.0,0.0,0.0
178.15,-49.5,0.0,0.0,0.0
178.3,-49.5,-0.00036,0.00006,0.00006
178.45,-49.5,-0.00080,0.00012,0.00014
178.6,-49.5,-0.00144,0.00020,0.00024
178.75,-49.5,-0.00058,0.00008,0.00010
178.9,-49.5,0.0,0.0,0.0
178.15,-49.375,0.0,0.0,0.0
178.3,-49.375,-0.00018,0.00002,0.00004
178.45,-49.375,-0.00038,0.00006,0.00006
178.6,-49.375,-0.00052,0.00008,0.00010
178.75,-49.375,-0.00028,0.00004,0.00004
178.9,-49.375,0.0,0.0,0.0
178.15,-49.25,0.0,0.0,0.0
178.3,-49.25,0.0,0.0,0.0
178.45,-49.25,0.0,0.0,0.0
178.6,-49.25,0.0,0.0,0.0
178.75,-49.25,0.0,0.0,0.0
178.9,-49.25,0.0,0.0,0.0
