lon,lat,de,dn,du
167.0875,-45.015625,-0.03780,-0.03836,0.02504
167.096875,-45.015625,-0.03848,-0.03998,0.02642
167.10625,-45.015625,-0.03914,-0.04160,0.02780
167.115625,-45.015625,-0.03982,-0.04322,0.02918
167.125,-45.015625,-0.04048,-0.04486,0.03056
167.134375,-45.015625,-0.04084,-0.04652,0.03204
167.14375,-45.015625,-0.04120,-0.04820,0.03352
167.153125,-45.015625,-0.04156,-0.04988,0.03500
167.1625,-45.015625,-0.04192,-0.05156,0.03650
167.171875,-45.015625,-0.04184,-0.05314,0.03796
167.18125,-45.015625,-0.04176,-0.05472,0.03944
167.190625,-45.015625,-0.04168,-0.05628,0.04092
167.2,-45.015625,-0.04160,-0.05786,0.04240
167.209375,-45.015625,-0.04098,-0.05912,0.04370
167.21875,-45.015625,-0.04038,-0.06038,0.04498
167.228125,-45.015625,-0.03976,-0.06164,0.04628
167.2375,-45.015625,-0.03914,-0.06290,0.04756
167.246875,-45.015625,-0.03798,-0.06358,0.04844
167.25625,-45.015625,-0.03680,-0.06426,0.04934
167.265625,-45.015625,-0.03564,-0.06494,0.05022
167.275,-45.015625,-0.03446,-0.06562,0.05112
167.284375,-45.015625,-0.03284,-0.06548,0.05136
167.29375,-45.015625,-0.03122,-0.06534,0.05162
167.303125,-45.015625,-0.02960,-0.06520,0.05186
167.3125,-45.015625,-0.02798,-0.06504,0.05212
167.321875,-45.015625,-0.02616,-0.06392,0.05156
167.33125,-45.015625,-0.02432,-0.06278,0.05102
167.340625,-45.015625,-0.02248,-0.06166,0.05046
167.35,-45.015625,-0.02064,-0.06052,0.04990
167.359375,-45.015625,-0.01890,-0.05840,0.04850
167.36875,-45.015625,-0.01718,-0.05628,0.04710
167.378125,-45.015625,-0.01544,-0.05416,0.04570
167.3875,-45.015625,-0.01372,-0.05202,0.04430
167.396875,-45.015625,-0.01244,-0.04908,0.04218
167.40625,-45.015625,-0.01114,-0.04614,0.04004
167.415625,-45.015625,-0.00986,-0.04320,0.03790
167.425,-45.015625,-0.00856,-0.04026,0.03576
167.434375,-45.015625,-0.00796,-0.03684,0.03316
167.44375,-45.015625,-0.00734,-0.03342,0.03056
167.453125,-45.015625,-0.00672,-0.02998,0.02796
167.4625,-45.015625,-0.00610,-0.02656,0.02534
167.471875,-45.015625,-0.00622,-0.02306,0.02260
167.48125,-45.015625,-0.00634,-0.01954,0.01986
