lon,lat,de,dn
165.85,-48.125,0.00018,-0.00157
166,-48.125,0.00015,-0.00163
166.15,-48.125,0.00011,-0.00169
166.3,-48.125,0.00007,-0.00176
166.45,-48.125,0.00003,-0.00182
166.6,-48.125,-0.00001,-0.00189
166.75,-48.125,-0.00005,-0.00196
166.9,-48.125,-0.00009,-0.00203
167.05,-48.125,-0.00013,-0.00211
167.2,-48.125,-0.00018,-0.00219
167.35,-48.125,-0.00022,-0.00227
167.5,-48.125,-0.00027,-0.00235
167.65,-48.125,-0.00032,-0.00243
167.8,-48.125,-0.00036,-0.00252
167.95,-48.125,-0.00041,-0.0026
168.1,-48.125,-0.00046,-0.00269
168.25,-48.125,-0.00051,-0.00278
168.4,-48.125,-0.00056,-0.00288
168.55,-48.125,-0.00061,-0.00297
168.7,-48.125,-0.00065,-0.00306
168.85,-48.125,-0.0007,-0.00316
169,-48.125,-0.00075,-0.00325
169.15,-48.125,-0.0008,-0.00335
169.3,-48.125,-0.00085,-0.00344
169.45,-48.125,-0.00089,-0.00354
169.6,-48.125,-0.00094,-0.00363
169.75,-48.125,-0.00098,-0.00372
169.9,-48.125,-0.00102,-0.00382
170.05,-48.125,-0.00106,-0.0039
170.2,-48.125,-0.0011,-0.00399
170.35,-48.125,-0.00114,-0.00407
170.5,-48.125,-0.00118,-0.00415
170.65,-48.125,-0.00121,-0.00422
170.8,-48.125,-0.00124,-0.00429
170.95,-48.125,-0.00127,-0.00436
171.1,-48.125,-0.0013,-0.00441
171.25,-48.125,-0.00133,-0.00446
171.4,-48.125,-0.00135,-0.00451
171.55,-48.125,-0.00137,-0.00454
171.7,-48.125,-0.00139,-0.00457
171.85,-48.125,-0.00141,-0.00459
172,-48.125,-0.00143,-0.0046
172.15,-48.125,-0.00145,-0.0046
172.3,-48.125,-0.00146,-0.00459
172.45,-48.125,-0.00147,-0.00458
172.6,-48.125,-0.00149,-0.00455
172.75,-48.125,-0.0015,-0.00451
172.9,-48.125,-0.00151,-0.00446
173.05,-48.125,-0.00152,-0.0044
173.2,-48.125,-0.00154,-0.00433
173.35,-48.125,-0.00155,-0.00425
173.5,-48.125,-0.00156,-0.00417
173.65,-48.125,-0.00158,-0.00407
173.8,-48.125,-0.00159,-0.00396
173.95,-48.125,-0.00161,-0.00385
174.1,-48.125,-0.00163,-0.00373
174.25,-48.125,-0.00165,-0.0036
174.4,-48.125,-0.00167,-0.00346
174.55,-48.125,-0.0017,-0.00332
174.7,-48.125,-0.00172,-0.00317
174.85,-48.125,-0.00175,-0.00302
175,-48.125,-0.00178,-0.00287
175.15,-48.125,-0.00181,-0.00271
175.3,-48.125,-0.00185,-0.00255
175.45,-48.125,-0.00189,-0.00239
175.6,-48.125,-0.00192,-0.00223
175.75,-48.125,-0.00196,-0.00207
175.9,-48.125,-0.002,-0.00191
176.05,-48.125,-0.00205,-0.00175
176.2,-48.125,-0.00209,-0.00159
176.35,-48.125,-0.00213,-0.00143
176.5,-48.125,-0.00218,-0.00128
176.65,-48.125,-0.00222,-0.00113
176.8,-48.125,-0.00227,-0.00099
176.95,-48.125,-0.00232,-0.00085
177.1,-48.125,-0.00236,-0.00071
177.25,-48.125,-0.0024,-0.00058
177.4,-48.125,-0.00245,-0.00045
177.55,-48.125,-0.00249,-0.00033
177.7,-48.125,-0.00253,-0.00022
177.85,-48.125,-0.00257,-0.00011
178,-48.125,-0.00261,-0
178.15,-48.125,-0.00265,0.0001
178.3,-48.125,-0.00268,0.00019
178.45,-48.125,-0.00272,0.00028
178.6,-48.125,-0.00275,0.00036
178.75,-48.125,-0.00278,0.00044
178.9,-48.125,-0.00281,0.00051
179.05,-48.125,-0.00283,0.00058
179.2,-48.125,-0.00285,0.00064
179.35,-48.125,-0.00288,0.0007
179.5,-48.125,-0.00289,0.00075
165.85,-48,0.00023,-0.00157
166,-48,0.00019,-0.00163
166.15,-48,0.00016,-0.0017
166.3,-48,0.00012,-0.00176
166.45,-48,0.00008,-0.00183
166.6,-48,0.00003,-0.0019
166.75,-48,-0.00001,-0.00197
166.9,-48,-0.00005,-0.00205
167.05,-48,-0.0001,-0.00212
167.2,-48,-0.00014,-0.0022
167.35,-48,-0.00019,-0.00229
167.5,-48,-0.00024,-0.00237
167.65,-48,-0.00029,-0.00246
167.8,-48,-0.00034,-0.00255
167.95,-48,-0.00039,-0.00264
168.1,-48,-0.00044,-0.00273
168.25,-48,-0.00049,-0.00283
168.4,-48,-0.00054,-0.00292
168.55,-48,-0.0006,-0.00302
168.7,-48,-0.00065,-0.00312
168.85,-48,-0.0007,-0.00322
169,-48,-0.00075,-0.00332
169.15,-48,-0.0008,-0.00343
169.3,-48,-0.00085,-0.00353
169.45,-48,-0.0009,-0.00363
169.6,-48,-0.00095,-0.00373
169.75,-48,-0.001,-0.00383
169.9,-48,-0.00104,-0.00392
170.05,-48,-0.00109,-0.00402
170.2,-48,-0.00113,-0.00411
170.35,-48,-0.00117,-0.0042
170.5,-48,-0.00121,-0.00429
170.65,-48,-0.00125,-0.00437
170.8,-48,-0.00128,-0.00444
170.95,-48,-0.00132,-0.00451
171.1,-48,-0.00135,-0.00458
171.25,-48,-0.00138,-0.00463
171.4,-48,-0.0014,-0.00468
171.55,-48,-0.00143,-0.00472
171.7,-48,-0.00145,-0.00475
171.85,-48,-0.00147,-0.00478
172,-48,-0.00149,-0.00479
172.15,-48,-0.0015,-0.00479
172.3,-48,-0.00152,-0.00479
172.45,-48,-0.00154,-0.00477
172.6,-48,-0.00155,-0.00474
172.75,-48,-0.00156,-0.0047
172.9,-48,-0.00158,-0.00465
173.05,-48,-0.00159,-0.00459
173.2,-48,-0.0016,-0.00452
173.35,-48,-0.00162,-0.00443
173.5,-48,-0.00163,-0.00434
173.65,-48,-0.00165,-0.00424
173.8,-48,-0.00166,-0.00412
173.95,-48,-0.00168,-0.004
174.1,-48,-0.0017,-0.00387
174.25,-48,-0.00172,-0.00374
174.4,-48,-0.00175,-0.00359
174.55,-48,-0.00177,-0.00344
174.7,-48,-0.0018,-0.00328
174.85,-48,-0.00183,-0.00312
175,-48,-0.00187,-0.00296
175.15,-48,-0.0019,-0.00279
175.3,-48,-0.00194,-0.00262
175.45,-48,-0.00198,-0.00245
175.6,-48,-0.00202,-0.00228
175.75,-48,-0.00206,-0.00211
175.9,-48,-0.0021,-0.00193
176.05,-48,-0.00215,-0.00177
176.2,-48,-0.0022,-0.0016
176.35,-48,-0.00224,-0.00144
176.5,-48,-0.00229,-0.00127
176.65,-48,-0.00234,-0.00112
176.8,-48,-0.00239,-0.00097
176.95,-48,-0.00244,-0.00082
177.1,-48,-0.00248,-0.00068
177.25,-48,-0.00253,-0.00054
177.4,-48,-0.00258,-0.00041
177.55,-48,-0.00262,-0.00028
177.7,-48,-0.00266,-0.00016
177.85,-48,-0.00271,-0.00005
178,-48,-0.00275,0.00006
178.15,-48,-0.00278,0.00016
178.3,-48,-0.00282,0.00026
178.45,-48,-0.00285,0.00035
178.6,-48,-0.00289,0.00043
178.75,-48,-0.00292,0.00051
178.9,-48,-0.00294,0.00058
179.05,-48,-0.00297,0.00065
179.2,-48,-0.00299,0.00071
179.35,-48,-0.00301,0.00077
179.5,-48,-0.00303,0.00082
165.85,-47.875,0.00028,-0.00157
166,-47.875,0.00024,-0.00163
166.15,-47.875,0.00021,-0.0017
166.3,-47.875,0.00017,-0.00176
166.45,-47.875,0.00012,-0.00183
166.6,-47.875,0.00008,-0.00191
166.75,-47.875,0.00004,-0.00198
166.9,-47.875,-0.00001,-0.00206
167.05,-47.875,-0.00006,-0.00214
167.2,-47.875,-0.0001,-0.00222
167.35,-47.875,-0.00015,-0.00231
167.5,-47.875,-0.0002,-0.00239
167.65,-47.875,-0.00026,-0.00248
167.8,-47.875,-0.00031,-0.00258
