lon,lat,de,dn
172.4875,-42.875,0,0
172.525,-42.875,0,0
172.5625,-42.875,0,0
172.6,-42.875,0,0
172.6375,-42.875,0,0
172.675,-42.875,0,0
172.7125,-42.875,0,0
172.75,-42.875,0,0
172.7875,-42.875,0,0
172.825,-42.875,0,0
172.8625,-42.875,0,0
172.9,-42.875,0,0
172.9375,-42.875,0,0
172.975,-42.875,0,0
173.0125,-42.875,0,0
173.05,-42.875,0,0
173.0875,-42.875,0,0
173.125,-42.875,0,0
173.1625,-42.875,0,0
173.2,-42.875,0,0
173.2375,-42.875,0,0
173.275,-42.875,0,0
173.3125,-42.875,0,0
173.35,-42.875,0,0
173.3875,-42.875,0,0
173.425,-42.875,0,0
173.4625,-42.875,0,0
173.5,-42.875,0,0
173.5375,-42.875,0,0
173.575,-42.875,0,0
173.6125,-42.875,0,0
173.65,-42.875,0,0
173.6875,-42.875,0,0
173.725,-42.875,0,0
173.7625,-42.875,0,0
173.8,-42.875,0,0
173.8375,-42.875,0,0
173.875,-42.875,0,0
173.9125,-42.875,0,0
173.95,-42.875,0,0
173.9875,-42.875,0,0
174.025,-42.875,0,0
174.0625,-42.875,0,0
174.1,-42.875,0,0
174.1375,-42.875,0,0
174.175,-42.875,0,0
174.2125,-42.875,0,0
174.25,-42.875,0,0
174.2875,-42.875,0,0
174.325,-42.875,0,0
174.3625,-42.875,0,0
174.4,-42.875,0,0
174.4375,-42.875,0,0
174.475,-42.875,0,0
174.5125,-42.875,0,0
174.55,-42.875,0,0
174.5875,-42.875,0,0
174.625,-42.875,0,0
174.6625,-42.875,0,0
174.7,-42.875,0,0
174.7375,-42.875,0,0
174.775,-42.875,0,0
174.8125,-42.875,0,0
174.85,-42.875,0,0
174.8875,-42.875,0,0
174.925,-42.875,0,0
172.4875,-42.84375,0,0
172.525,-42.84375,0,0
172.5625,-42.84375,0,0
172.6,-42.84375,0,0
172.6375,-42.84375,0,0
172.675,-42.84375,0,0
172.7125,-42.84375,0,0
172.75,-42.84375,0,0
172.7875,-42.84375,0,0
172.825,-42.84375,0,0
172.8625,-42.84375,0,0
172.9,-42.84375,0,0
172.9375,-42.84375,0,0
172.975,-42.84375,0,0
173.0125,-42.84375,0,0
173.05,-42.84375,0,0
173.0875,-42.84375,-0.0128,-0.00226
173.125,-42.84375,-0.01978,0.00278
173.1625,-42.84375,-0.02559,0.00991
173.2,-42.84375,-0.03133,0.01645
173.2375,-42.84375,-0.03677,0.02097
173.275,-42.84375,-0.04137,0.02292
173.3125,-42.84375,-0.04445,0.02239
173.35,-42.84375,-0.04521,0.01986
173.3875,-42.84375,-0.04222,0.01573
173.425,-42.84375,-0.03159,0.00985
173.4625,-42.84375,0,0
173.5,-42.84375,0,0
173.5375,-42.84375,0,0
173.575,-42.84375,0,0
173.6125,-42.84375,0,0
173.65,-42.84375,0,0
173.6875,-42.84375,0,0
173.725,-42.84375,0,0
173.7625,-42.84375,0,0
173.8,-42.84375,0,0
173.8375,-42.84375,0,0
173.875,-42.84375,0,0
173.9125,-42.84375,0,0
173.95,-42.84375,0,0
173.9875,-42.84375,0,0
174.025,-42.84375,0,0
174.0625,-42.84375,0,0
174.1,-42.84375,0,0
174.1375,-42.84375,0,0
174.175,-42.84375,0,0
174.2125,-42.84375,0,0
174.25,-42.84375,0,0
174.2875,-42.84375,0,0
174.325,-42.84375,0,0
174.3625,-42.84375,0,0
174.4,-42.84375,0,0
174.4375,-42.84375,0,0
174.475,-42.84375,0,0
174.5125,-42.84375,0,0
174.55,-42.84375,0,0
174.5875,-42.84375,0,0
174.625,-42.84375,0,0
174.6625,-42.84375,0,0
174.7,-42.84375,0,0
174.7375,-42.84375,0,0
174.775,-42.84375,0,0
174.8125,-42.84375,0,0
174.85,-42.84375,0,0
174.8875,-42.84375,0,0
174.925,-42.84375,0,0
172.4875,-42.8125,0,0
172.525,-42.8125,0,0
172.5625,-42.8125,0,0
172.6,-42.8125,0,0
172.6375,-42.8125,0,0
172.675,-42.8125,0,0
172.7125,-42.8125,0,0
172.75,-42.8125,0,0
172.7875,-42.8125,0,0
172.825,-42.8125,0,0
172.8625,-42.8125,0,0
172.9,-42.8125,0,0
172.9375,-42.8125,0,0
172.975,-42.8125,0,0
173.0125,-42.8125,-0.01684,-0.01726
173.05,-42.8125,-0.02629,-0.01847
173.0875,-42.8125,-0.03635,-0.00969
173.125,-42.8125,-0.0463,0.00601
173.1625,-42.8125,-0.05734,0.02334
173.2,-42.8125,-0.06927,0.038
173.2375,-42.8125,-0.08075,0.04756
173.275,-42.8125,-0.09044,0.05113
173.3125,-42.8125,-0.09712,0.04929
173.35,-42.8125,-0.09974,0.04339
173.3875,-42.8125,-0.09723,0.03492
