lon,lat,de,dn
174.25703125,-41.791015625,2.74388,3.83777
174.259375,-41.791015625,2.79238,3.90628
174.26171875,-41.791015625,2.84251,3.97698
174.2640625,-41.791015625,2.89439,4.04989
174.26640625,-41.791015625,2.94811,4.12502
174.26875,-41.791015625,3.00377,4.20239
174.27109375,-41.791015625,3.06147,4.28201
174.2734375,-41.791015625,3.12129,4.36389
174.27578125,-41.791015625,3.18331,4.44801
174.278125,-41.791015625,3.24757,4.53438
174.28046875,-41.791015625,3.31415,4.62296
174.2828125,-41.791015625,3.38305,4.71372
174.28515625,-41.791015625,3.45433,4.80663
174.2875,-41.791015625,3.52799,4.90159
174.28984375,-41.791015625,3.60409,4.99851
174.2921875,-41.791015625,3.68266,5.09712
174.29453125,-41.791015625,3.7637,5.19707
174.296875,-41.791015625,3.84721,5.29778
174.29921875,-41.791015625,3.93301,5.39848
174.3015625,-41.791015625,4.02069,5.49821
174.30390625,-41.791015625,4.10941,5.59605
174.30625,-41.791015625,4.19789,5.69152
174.30859375,-41.791015625,4.28465,5.78512
174.3109375,-41.791015625,4.36861,5.87868
174.31328125,-41.791015625,4.44987,5.97505
174.315625,-41.791015625,4.53015,6.07717
174.31796875,-41.791015625,4.61259,6.18695
174.3203125,-41.791015625,4.70135,6.30489
174.32265625,-41.791015625,4.80188,6.43058
174.325,-41.791015625,4.92169,6.56361
174.32734375,-41.791015625,5.02464,6.70889
174.3296875,-41.791015625,3.24537,4.56796
174.33203125,-41.791015625,-3.69109,-3.03729
174.334375,-41.791015625,-3.39359,-2.83426
174.33671875,-41.791015625,-3.25841,-2.71126
174.3390625,-41.791015625,-3.16212,-2.6086
174.34140625,-41.791015625,-3.08081,-2.51751
174.34375,-41.791015625,-3.00633,-2.43466
174.34609375,-41.791015625,-2.93513,-2.35742
174.3484375,-41.791015625,-2.86584,-2.2834
174.35078125,-41.791015625,-2.79829,-2.21087
174.353125,-41.791015625,-2.73281,-2.13901
174.35546875,-41.791015625,-2.6697,-2.06772
174.3578125,-41.791015625,-2.6091,-1.99729
174.36015625,-41.791015625,-2.55094,-1.92807
174.3625,-41.791015625,-2.49508,-1.86035
174.36484375,-41.791015625,-2.44131,-1.79427
174.3671875,-41.791015625,-2.3895,-1.72994
174.36953125,-41.791015625,-2.33952,-1.66737
174.371875,-41.791015625,-2.29128,-1.60657
174.37421875,-41.791015625,-2.24471,-1.54749
174.3765625,-41.791015625,-2.19972,-1.4901
174.37890625,-41.791015625,-2.15628,-1.43439
174.38125,-41.791015625,-2.11432,-1.38031
174.38359375,-41.791015625,-2.07379,-1.32786
