lon,lat,de,dn
171.925,-43.34375,-0.00005,-0.03069
171.9625,-43.34375,-0.00093,-0.03201
172,-43.34375,-0.00181,-0.03332
172.0375,-43.34375,-0.00283,-0.03485
172.075,-43.34375,-0.00385,-0.03639
172.1125,-43.34375,-0.00487,-0.03792
172.15,-43.34375,-0.00589,-0.03945
172.1875,-43.34375,-0.00702,-0.04117
172.225,-43.34375,-0.00816,-0.04288
172.2625,-43.34375,-0.00929,-0.04459
172.3,-43.34375,-0.01042,-0.04631
172.3375,-43.34375,-0.01161,-0.04809
172.375,-43.34375,-0.01279,-0.04987
172.4125,-43.34375,-0.01398,-0.05165
172.45,-43.34375,-0.01517,-0.05343
172.4875,-43.34375,-0.01634,-0.05506
172.525,-43.34375,-0.01751,-0.0567
172.5625,-43.34375,-0.01869,-0.05834
172.6,-43.34375,-0.01986,-0.05997
172.6375,-43.34375,-0.02097,-0.06116
172.675,-43.34375,-0.02209,-0.06235
172.7125,-43.34375,-0.02321,-0.06354
172.75,-43.34375,-0.02432,-0.06472
172.7875,-43.34375,-0.02541,-0.06516
172.825,-43.34375,-0.0265,-0.0656
172.8625,-43.34375,-0.02759,-0.06604
172.9,-43.34375,-0.02867,-0.06648
172.9375,-43.34375,-0.02982,-0.06602
172.975,-43.34375,-0.03098,-0.06556
173.0125,-43.34375,-0.03213,-0.0651
173.05,-43.34375,-0.03328,-0.06463
173.0875,-43.34375,-0.03458,-0.06338
173.125,-43.34375,-0.03588,-0.06214
173.1625,-43.34375,-0.03717,-0.06089
173.2,-43.34375,-0.03847,-0.05964
173.2375,-43.34375,-0.03988,-0.0579
173.275,-43.34375,-0.04129,-0.05616
173.3125,-43.34375,-0.04271,-0.05442
173.35,-43.34375,-0.04412,-0.05269
173.3875,-43.34375,-0.04551,-0.05076
173.425,-43.34375,-0.0469,-0.04884
173.4625,-43.34375,-0.04829,-0.04692
173.5,-43.34375,-0.04968,-0.045
173.5375,-43.34375,-0.05089,-0.04306
173.575,-43.34375,-0.0521,-0.04111
173.6125,-43.34375,-0.05332,-0.03917
173.65,-43.34375,-0.05453,-0.03723
173.6875,-43.34375,-0.05548,-0.0353
173.725,-43.34375,-0.05643,-0.03337
173.7625,-43.34375,-0.05738,-0.03144
173.8,-43.34375,-0.05833,-0.02952
173.8375,-43.34375,-0.05902,-0.02759
173.875,-43.34375,-0.0597,-0.02566
173.9125,-43.34375,-0.06039,-0.02373
173.95,-43.34375,-0.06108,-0.0218
173.9875,-43.34375,-0.06156,-0.01988
174.025,-43.34375,-0.06204,-0.01796
174.0625,-43.34375,-0.06252,-0.01604
174.1,-43.34375,-0.063,-0.01412
174.1375,-43.34375,-0.06333,-0.01225
174.175,-43.34375,-0.06366,-0.01037
174.2125,-43.34375,-0.06399,-0.0085
174.25,-43.34375,-0.06433,-0.00663
174.2875,-43.34375,-0.06455,-0.00489
174.325,-43.34375,-0.06478,-0.00314
174.3625,-43.34375,-0.06501,-0.0014
174.4,-43.34375,-0.06524,0.00035
174.4375,-43.34375,-0.06538,0.0019
174.475,-43.34375,-0.06552,0.00344
174.5125,-43.34375,-0.06566,0.00499
174.55,-43.34375,-0.0658,0.00654
174.5875,-43.34375,-0.06585,0.00784
174.625,-43.34375,-0.0659,0.00913
174.6625,-43.34375,-0.06596,0.01043
174.7,-43.34375,-0.06601,0.01172
174.7375,-43.34375,-0.06597,0.01274
174.775,-43.34375,-0.06592,0.01375
174.8125,-43.34375,-0.06588,0.01477
174.85,-43.34375,-0.06583,0.01579
174.8875,-43.34375,-0.06569,0.01653
174.925,-43.34375,-0.06554,0.01727
174.9625,-43.34375,-0.06539,0.01801
175,-43.34375,-0.06524,0.01875
175.0375,-43.34375,-0.06499,0.01923
175.075,-43.34375,-0.06474,0.01972
175.1125,-43.34375,-0.06448,0.02021
175.15,-43.34375,-0.06423,0.0207
175.1875,-43.34375,-0.06387,0.02097
175.225,-43.34375,-0.06352,0.02124
175.2625,-43.34375,-0.06316,0.02151
175.3,-43.34375,-0.06281,0.02178
175.3375,-43.34375,-0.06237,0.02188
175.375,-43.34375,-0.06192,0.02197
175.4125,-43.34375,-0.06148,0.02207
175.45,-43.34375,-0.06104,0.02216
171.925,-43.3125,0.00108,-0.03065
171.9625,-43.3125,0.00018,-0.03201
172,-43.3125,-0.00073,-0.03336
172.0375,-43.3125,-0.0018,-0.03496
172.075,-43.3125,-0.00288,-0.03657
172.1125,-43.3125,-0.00395,-0.03817
172.15,-43.3125,-0.00503,-0.03977
172.1875,-43.3125,-0.00624,-0.04159
172.225,-43.3125,-0.00745,-0.04341
172.2625,-43.3125,-0.00867,-0.04524
172.3,-43.3125,-0.00988,-0.04706
172.3375,-43.3125,-0.01117,-0.04898
172.375,-43.3125,-0.01246,-0.05091
172.4125,-43.3125,-0.01374,-0.05284
172.45,-43.3125,-0.01503,-0.05476
172.4875,-43.3125,-0.01632,-0.05657
172.525,-43.3125,-0.0176,-0.05837
172.5625,-43.3125,-0.01889,-0.06017
172.6,-43.3125,-0.02017,-0.06197
172.6375,-43.3125,-0.0214,-0.0633
172.675,-43.3125,-0.02262,-0.06463
172.7125,-43.3125,-0.02385,-0.06596
172.75,-43.3125,-0.02507,-0.06729
172.7875,-43.3125,-0.02627,-0.06778
172.825,-43.3125,-0.02746,-0.06827
172.8625,-43.3125,-0.02865,-0.06876
172.9,-43.3125,-0.02985,-0.06925
172.9375,-43.3125,-0.03112,-0.06872
172.975,-43.3125,-0.0324,-0.06819
173.0125,-43.3125,-0.03367,-0.06766
173.05,-43.3125,-0.03495,-0.06713
173.0875,-43.3125,-0.03641,-0.06572
173.125,-43.3125,-0.03786,-0.06431
173.1625,-43.3125,-0.03932,-0.0629
173.2,-43.3125,-0.04073,-0.06137
173.2375,-43.3125,-0.04228,-0.05959
173.275,-43.3125,-0.04396,-0.05767
173.3125,-43.3125,-0.04556,-0.05577
173.35,-43.3125,-0.04715,-0.05386
173.3875,-43.3125,-0.0487,-0.05181
173.425,-43.3125,-0.05025,-0.04976
173.4625,-43.3125,-0.05181,-0.04771
173.5,-43.3125,-0.05336,-0.04566
173.5375,-43.3125,-0.05468,-0.04365
173.575,-43.3125,-0.056,-0.04164
173.6125,-43.3125,-0.05731,-0.03962
173.65,-43.3125,-0.05863,-0.03761
173.6875,-43.3125,-0.05963,-0.03564
173.725,-43.3125,-0.06062,-0.03366
173.7625,-43.3125,-0.06161,-0.03169
173.8,-43.3125,-0.0626,-0.02972
173.8375,-43.3125,-0.06328,-0.02775
173.875,-43.3125,-0.06397,-0.02577
