lon,lat,de,dn
173.02890625,-42.484375,0.904,-0.05712
173.03125,-42.484375,0.91526,-0.04956
173.03359375,-42.484375,0.92698,-0.04132
173.0359375,-42.484375,0.9392,-0.03236
173.03828125,-42.484375,0.95195,-0.0226
173.040625,-42.484375,0.96528,-0.01199
173.04296875,-42.484375,0.9792,-0.0005
173.0453125,-42.484375,0.99375,0.01195
173.04765625,-42.484375,1.00893,0.02539
173.05,-42.484375,1.02475,0.03991
173.05234375,-42.484375,1.04126,0.05558
173.0546875,-42.484375,1.05845,0.07247
173.05703125,-42.484375,1.07638,0.09069
173.059375,-42.484375,1.09512,0.11027
173.06171875,-42.484375,1.11475,0.13124
173.0640625,-42.484375,1.13534,0.15358
173.06640625,-42.484375,1.15694,0.17721
173.06875,-42.484375,1.17953,0.20203
173.07109375,-42.484375,1.20302,0.22799
173.0734375,-42.484375,1.22725,0.25507
173.07578125,-42.484375,1.25204,0.2834
173.078125,-42.484375,1.27724,0.31324
173.08046875,-42.484375,1.30287,0.34493
173.0828125,-42.484375,1.3291,0.37879
173.08515625,-42.484375,1.35633,0.41497
173.0875,-42.484375,1.38505,0.45328
173.08984375,-42.484375,1.41571,0.49312
173.0921875,-42.484375,1.44845,0.53367
173.09453125,-42.484375,1.48307,0.57397
173.096875,-42.484375,1.51888,0.61333
173.09921875,-42.484375,1.55485,0.6516
173.1015625,-42.484375,1.58973,0.68955
173.10390625,-42.484375,1.62254,0.72903
173.10625,-42.484375,1.65334,0.77256
173.10859375,-42.484375,1.68373,0.82195
173.1109375,-42.484375,1.71602,0.87656
173.11328125,-42.484375,1.75145,0.93325
173.115625,-42.484375,1.78934,0.98848
173.11796875,-42.484375,1.82796,1.04012
173.1203125,-42.484375,1.86579,1.08773
173.12265625,-42.484375,1.90191,1.1319
173.125,-42.484375,1.93589,1.17374
173.12734375,-42.484375,1.96804,1.21453
173.1296875,-42.484375,2.00177,1.24968
173.13203125,-42.484375,2.03015,1.27921
173.134375,-42.484375,2.06252,1.31799
173.13671875,-42.484375,-0.50891,-0.06328
173.1390625,-42.484375,-0.4716,-0.01992
173.14140625,-42.484375,-0.43159,0.02798
173.14375,-42.484375,-0.38852,0.08247
173.14609375,-42.484375,-0.34313,0.14546
173.1484375,-42.484375,-0.29838,0.21638
173.15078125,-42.484375,-0.25846,0.28781
173.153125,-42.484375,-0.22301,0.34754
173.15546875,-42.484375,-0.18655,0.39224
173.1578125,-42.484375,-0.14693,0.4293
173.16015625,-42.484375,-0.10603,0.46564
173.1625,-42.484375,-0.06595,0.50412
173.16484375,-42.484375,-0.02796,0.54507
173.1671875,-42.484375,0.00726,0.58758
173.16953125,-42.484375,0.03945,0.6301
173.171875,-42.484375,0.06884,0.67088
173.17421875,-42.484375,0.09606,0.70844
173.1765625,-42.484375,0.122,0.74193
173.17890625,-42.484375,0.14749,0.77127
173.18125,-42.484375,0.17313,0.79695
173.18359375,-42.484375,0.19916,0.81969
173.1859375,-42.484375,0.2256,0.84016
173.18828125,-42.484375,0.25236,0.85886
173.190625,-42.484375,0.27932,0.87606
173.19296875,-42.484375,0.30642,0.89188
173.1953125,-42.484375,0.33367,0.90635
173.19765625,-42.484375,0.36112,0.91943
173.2,-42.484375,0.3889,0.93111
173.20234375,-42.484375,0.41713,0.94138
173.2046875,-42.484375,0.44591,0.95026
173.20703125,-42.484375,0.47531,0.95778
173.209375,-42.484375,0.5054,0.96396
173.21171875,-42.484375,0.53622,0.96883
173.2140625,-42.484375,0.56774,0.97236
173.21640625,-42.484375,0.59996,0.97452
173.21875,-42.484375,0.63282,0.97523
173.22109375,-42.484375,0.66623,0.97435
173.2234375,-42.484375,0.70011,0.97174
173.22578125,-42.484375,0.73433,0.9672
173.228125,-42.484375,0.76873,0.96052
173.23046875,-42.484375,0.80315,0.95149
173.2328125,-42.484375,0.8374,0.9399
173.23515625,-42.484375,0.87131,0.92562
173.2375,-42.484375,0.90473,0.90859
173.23984375,-42.484375,0.93764,0.88887
173.2421875,-42.484375,0.9701,0.86663
173.24453125,-42.484375,1.00242,0.84203
173.246875,-42.484375,1.03512,0.81471
173.24921875,-42.484375,1.06829,0.78077
173.2515625,-42.484375,1.09268,0.71365
173.25390625,-42.484375,0.10347,0.7948
173.25625,-42.484375,0.04184,0.68688
173.25859375,-42.484375,0.03325,0.62656
173.2609375,-42.484375,0.04836,0.57819
173.26328125,-42.484375,0.07397,0.5349
173.265625,-42.484375,0.10492,0.49517
173.26796875,-42.484375,0.13864,0.45852
173.2703125,-42.484375,0.17356,0.4246
173.27265625,-42.484375,0.20864,0.39304
173.275,-42.484375,0.2432,0.36339
173.02890625,-42.482421875,0.89641,-0.05796
173.03125,-42.482421875,0.9072,-0.0504
173.03359375,-42.482421875,0.91841,-0.0422
173.0359375,-42.482421875,0.93006,-0.03331
173.03828125,-42.482421875,0.9422,-0.02366
173.040625,-42.482421875,0.95484,-0.01321
173.04296875,-42.482421875,0.96801,-0.00192
173.0453125,-42.482421875,0.98174,0.01028
173.04765625,-42.482421875,0.99604,0.02343
173.05,-42.482421875,1.01093,0.0376
173.05234375,-42.482421875,1.02645,0.05284
173.0546875,-42.482421875,1.04261,0.06923
173.05703125,-42.482421875,1.05946,0.08682
173.059375,-42.482421875,1.07703,0.10564
173.06171875,-42.482421875,1.09539,0.12572
173.0640625,-42.482421875,1.11458,0.14705
173.06640625,-42.482421875,1.1346,0.16958
173.06875,-42.482421875,1.15544,0.19328
173.07109375,-42.482421875,1.17702,0.21814
173.0734375,-42.482421875,1.19925,0.2442
173.07578125,-42.482421875,1.22203,0.27156
173.078125,-42.482421875,1.24533,0.30042
173.08046875,-42.482421875,1.26917,0.33096
173.0828125,-42.482421875,1.29373,0.36335
173.08515625,-42.482421875,1.31928,0.39759
173.0875,-42.482421875,1.34608,0.43348
173.08984375,-42.482421875,1.37437,0.4706
173.0921875,-42.482421875,1.40413,0.50839
173.09453125,-42.482421875,1.43508,0.54632
173.096875,-42.482421875,1.46664,0.58406
173.09921875,-42.482421875,1.49807,0.62174
173.1015625,-42.482421875,1.5286,0.66006
173.10390625,-42.482421875,1.55784,0.70026
173.10625,-42.482421875,1.5861,0.74368
173.10859375,-42.482421875,1.61443,0.79104
173.1109375,-42.482421875,1.64413,0.84172
173.11328125,-42.482421875,1.6759,0.89393
173.115625,-42.482421875,1.70949,0.94555
173.11796875,-42.482421875,1.74398,0.99503
173.1203125,-42.482421875,1.77836,1.04174
173.12265625,-42.482421875,1.81193,1.08578
173.125,-42.482421875,1.84461,1.12756
173.12734375,-42.482421875,1.87707,1.16684
173.1296875,-42.482421875,1.90931,1.20193
173.13203125,-42.482421875,1.93943,1.23495
173.134375,-42.482421875,1.96967,1.27044
173.13671875,-42.482421875,2.00204,1.30834
173.1390625,-42.482421875,2.03707,1.34883
173.14140625,-42.482421875,2.07582,1.39345
173.14375,-42.482421875,-0.48665,0.02328
173.14609375,-42.482421875,-0.43522,0.08693
173.1484375,-42.482421875,-0.37758,0.16915
173.15078125,-42.482421875,-0.32467,0.26447
173.153125,-42.482421875,-0.28288,0.3358
173.15546875,-42.482421875,-0.23685,0.37433
173.1578125,-42.482421875,-0.18673,0.40593
173.16015625,-42.482421875,-0.13804,0.44143
173.1625,-42.482421875,-0.09239,0.48228
173.16484375,-42.482421875,-0.0501,0.52775
173.1671875,-42.482421875,-0.0115,0.57621
173.16953125,-42.482421875,0.02315,0.62529
173.171875,-42.482421875,0.05408,0.67214
173.17421875,-42.482421875,0.08221,0.71433
173.1765625,-42.482421875,0.10894,0.75063
173.17890625,-42.482421875,0.13553,0.78124
173.18125,-42.482421875,0.16265,0.80729
173.18359375,-42.482421875,0.19043,0.83008
173.1859375,-42.482421875,0.21865,0.85064
173.18828125,-42.482421875,0.24704,0.8696
173.190625,-42.482421875,0.27537,0.88721
173.19296875,-42.482421875,0.30352,0.9035
173.1953125,-42.482421875,0.33153,0.91837
173.19765625,-42.482421875,0.35952,0.93172
173.2,-42.482421875,0.38765,0.94348
173.20234375,-42.482421875,0.41613,0.95363
173.2046875,-42.482421875,0.44507,0.96221
173.20703125,-42.482421875,0.4746,0.96929
173.209375,-42.482421875,0.50477,0.97493
173.21171875,-42.482421875,0.53562,0.9792
173.2140625,-42.482421875,0.56714,0.9821
173.21640625,-42.482421875,0.59929,0.98362
173.21875,-42.482421875,0.63201,0.9837
173.22109375,-42.482421875,0.66521,0.98224
173.2234375,-42.482421875,0.69877,0.97911
173.22578125,-42.482421875,0.73258,0.97415
173.228125,-42.482421875,0.76649,0.96717
173.23046875,-42.482421875,0.80033,0.95798
173.2328125,-42.482421875,0.83394,0.94636
173.23515625,-42.482421875,0.86718,0.93213
173.2375,-42.482421875,0.89994,0.91503
173.23984375,-42.482421875,0.93219,0.89475
173.2421875,-42.482421875,0.96392,0.8707
173.24453125,-42.482421875,0.99504,0.84158
173.246875,-42.482421875,1.02494,0.80426
173.24921875,-42.482421875,1.05075,0.75155
173.2515625,-42.482421875,1.06362,0.67232
173.25390625,-42.482421875,1.05331,0.57034
173.25625,-42.482421875,0.08985,0.7127
173.25859375,-42.482421875,0.08312,0.64001
173.2609375,-42.482421875,0.0925,0.58093
173.26328125,-42.482421875,0.11322,0.52986
173.265625,-42.482421875,0.14087,0.4845
173.26796875,-42.482421875,0.17233,0.44383
173.2703125,-42.482421875,0.20552,0.40714
173.27265625,-42.482421875,0.23908,0.37374
173.275,-42.482421875,0.27216,0.34295
173.02890625,-42.48046875,0.88825,-0.05874
173.03125,-42.48046875,0.89856,-0.05119
173.03359375,-42.48046875,0.90923,-0.04303
173.0359375,-42.48046875,0.92031,-0.0342
173.03828125,-42.48046875,0.93181,-0.02466
