lon,lat,du
172.15,-43.09375,-0.01919
172.1875,-43.09375,-0.02083
172.225,-43.09375,-0.02247
172.2625,-43.09375,-0.0241
172.3,-43.09375,-0.02574
172.3375,-43.09375,-0.02773
172.375,-43.09375,-0.02972
172.4125,-43.09375,-0.03171
172.45,-43.09375,-0.0337
172.4875,-43.09375,-0.03598
172.525,-43.09375,-0.03825
172.5625,-43.09375,-0.04053
172.6,-43.09375,-0.04281
172.6375,-43.09375,-0.04513
172.675,-43.09375,-0.04745
172.7125,-43.09375,-0.04976
172.75,-43.09375,-0.05208
172.7875,-43.09375,-0.05399
172.825,-43.09375,-0.0559
172.8625,-43.09375,-0.05781
172.9,-43.09375,-0.05972
172.9375,-43.09375,-0.06073
172.975,-43.09375,-0.06173
173.0125,-43.09375,-0.06274
173.05,-43.09375,-0.06374
173.0875,-43.09375,-0.06369
173.125,-43.09375,-0.06363
173.1625,-43.09375,-0.06357
173.2,-43.09375,-0.06352
173.2375,-43.09375,-0.06269
173.275,-43.09375,-0.06186
173.3125,-43.09375,-0.06104
173.35,-43.09375,-0.06021
173.3875,-43.09375,-0.05898
173.425,-43.09375,-0.05774
173.4625,-43.09375,-0.05651
173.5,-43.09375,-0.05527
173.5375,-43.09375,-0.05381
173.575,-43.09375,-0.05234
173.6125,-43.09375,-0.05087
173.65,-43.09375,-0.04941
173.6875,-43.09375,-0.04776
173.725,-43.09375,-0.04611
173.7625,-43.09375,-0.04447
173.8,-43.09375,-0.04282
173.8375,-43.09375,-0.04102
173.875,-43.09375,-0.03923
173.9125,-43.09375,-0.03743
173.95,-43.09375,-0.03563
173.9875,-43.09375,-0.03372
174.025,-43.09375,-0.03181
174.0625,-43.09375,-0.02991
174.1,-43.09375,-0.028
174.1375,-43.09375,-0.02607
174.175,-43.09375,-0.02414
174.2125,-43.09375,-0.02221
174.25,-43.09375,-0.02028
174.2875,-43.09375,-0.01842
174.325,-43.09375,-0.01657
174.3625,-43.09375,-0.01472
174.4,-43.09375,-0.01286
