lon,lat,de,dn
165.85,-47.625,-0.00017,-0.00187
166,-47.625,-0.0002,-0.00193
166.15,-47.625,-0.00024,-0.002
166.3,-47.625,-0.00027,-0.00206
166.45,-47.625,-0.00031,-0.00213
166.6,-47.625,-0.00035,-0.0022
166.75,-47.625,-0.00038,-0.00227
166.9,-47.625,-0.00042,-0.00235
167.05,-47.625,-0.00046,-0.00242
167.2,-47.625,-0.0005,-0.0025
167.35,-47.625,-0.00054,-0.00258
167.5,-47.625,-0.00059,-0.00267
167.65,-47.625,-0.00063,-0.00275
167.8,-47.625,-0.00067,-0.00283
167.95,-47.625,-0.00072,-0.00292
168.1,-47.625,-0.00076,-0.00301
168.25,-47.625,-0.00081,-0.0031
168.4,-47.625,-0.00085,-0.00319
168.55,-47.625,-0.00089,-0.00328
168.7,-47.625,-0.00094,-0.00337
168.85,-47.625,-0.00098,-0.00346
169,-47.625,-0.00103,-0.00355
169.15,-47.625,-0.00107,-0.00364
169.3,-47.625,-0.00111,-0.00373
169.45,-47.625,-0.00116,-0.00382
169.6,-47.625,-0.0012,-0.0039
169.75,-47.625,-0.00124,-0.00398
169.9,-47.625,-0.00128,-0.00406
170.05,-47.625,-0.00131,-0.00414
170.2,-47.625,-0.00135,-0.00421
170.35,-47.625,-0.00139,-0.00428
170.5,-47.625,-0.00142,-0.00435
170.65,-47.625,-0.00145,-0.0044
170.8,-47.625,-0.00148,-0.00445
170.95,-47.625,-0.00151,-0.0045
171.1,-47.625,-0.00154,-0.00454
171.25,-47.625,-0.00157,-0.00456
171.4,-47.625,-0.00159,-0.00458
171.55,-47.625,-0.00161,-0.0046
171.7,-47.625,-0.00164,-0.0046
171.85,-47.625,-0.00166,-0.00459
172,-47.625,-0.00168,-0.00457
172.15,-47.625,-0.0017,-0.00454
172.3,-47.625,-0.00172,-0.0045
172.45,-47.625,-0.00174,-0.00445
172.6,-47.625,-0.00176,-0.00439
172.75,-47.625,-0.00178,-0.00432
172.9,-47.625,-0.0018,-0.00424
173.05,-47.625,-0.00182,-0.00414
173.2,-47.625,-0.00184,-0.00404
173.35,-47.625,-0.00187,-0.00392
173.5,-47.625,-0.00189,-0.0038
173.65,-47.625,-0.00192,-0.00367
173.8,-47.625,-0.00195,-0.00353
173.95,-47.625,-0.00198,-0.00338
174.1,-47.625,-0.00202,-0.00323
174.25,-47.625,-0.00205,-0.00306
174.4,-47.625,-0.00209,-0.0029
174.55,-47.625,-0.00213,-0.00273
174.7,-47.625,-0.00217,-0.00255
174.85,-47.625,-0.00222,-0.00238
175,-47.625,-0.00226,-0.0022
175.15,-47.625,-0.00231,-0.00202
175.3,-47.625,-0.00236,-0.00184
175.45,-47.625,-0.00241,-0.00167
175.6,-47.625,-0.00246,-0.00149
175.75,-47.625,-0.00252,-0.00132
175.9,-47.625,-0.00257,-0.00114
176.05,-47.625,-0.00262,-0.00098
176.2,-47.625,-0.00268,-0.00081
176.35,-47.625,-0.00273,-0.00066
176.5,-47.625,-0.00278,-0.0005
176.65,-47.625,-0.00284,-0.00035
176.8,-47.625,-0.00289,-0.00021
176.95,-47.625,-0.00294,-0.00008
177.1,-47.625,-0.00299,0.00005
177.25,-47.625,-0.00303,0.00018
177.4,-47.625,-0.00308,0.00029
177.55,-47.625,-0.00312,0.0004
177.7,-47.625,-0.00316,0.00051
177.85,-47.625,-0.0032,0.0006
178,-47.625,-0.00323,0.00069
178.15,-47.625,-0.00326,0.00078
178.3,-47.625,-0.00329,0.00086
178.45,-47.625,-0.00332,0.00093
178.6,-47.625,-0.00334,0.00099
178.75,-47.625,-0.00336,0.00105
178.9,-47.625,-0.00338,0.00111
179.05,-47.625,-0.0034,0.00116
165.85,-47.5,-0.00013,-0.00187
166,-47.5,-0.00017,-0.00194
166.15,-47.5,-0.0002,-0.002
166.3,-47.5,-0.00024,-0.00207
166.45,-47.5,-0.00027,-0.00214
166.6,-47.5,-0.00031,-0.00222
166.75,-47.5,-0.00035,-0.00229
166.9,-47.5,-0.00039,-0.00237
167.05,-47.5,-0.00044,-0.00245
167.2,-47.5,-0.00048,-0.00253
167.35,-47.5,-0.00052,-0.00261
167.5,-47.5,-0.00057,-0.0027
167.65,-47.5,-0.00061,-0.00279
167.8,-47.5,-0.00066,-0.00288
167.95,-47.5,-0.0007,-0.00297
168.1,-47.5,-0.00075,-0.00306
168.25,-47.5,-0.0008,-0.00315
168.4,-47.5,-0.00085,-0.00325
168.55,-47.5,-0.0009,-0.00335
168.7,-47.5,-0.00094,-0.00344
168.85,-47.5,-0.00099,-0.00354
169,-47.5,-0.00104,-0.00364
169.15,-47.5,-0.00109,-0.00373
169.3,-47.5,-0.00113,-0.00383
169.45,-47.5,-0.00118,-0.00393
169.6,-47.5,-0.00122,-0.00402
169.75,-47.5,-0.00127,-0.00411
169.9,-47.5,-0.00131,-0.0042
170.05,-47.5,-0.00135,-0.00428
170.2,-47.5,-0.00139,-0.00436
170.35,-47.5,-0.00143,-0.00444
170.5,-47.5,-0.00147,-0.00451
170.65,-47.5,-0.0015,-0.00457
170.8,-47.5,-0.00154,-0.00463
170.95,-47.5,-0.00157,-0.00468
171.1,-47.5,-0.0016,-0.00473
171.25,-47.5,-0.00163,-0.00476
171.4,-47.5,-0.00166,-0.00479
171.55,-47.5,-0.00168,-0.0048
171.7,-47.5,-0.00171,-0.00481
171.85,-47.5,-0.00173,-0.0048
172,-47.5,-0.00175,-0.00478
172.15,-47.5,-0.00177,-0.00476
172.3,-47.5,-0.00179,-0.00472
172.45,-47.5,-0.00182,-0.00466
172.6,-47.5,-0.00184,-0.0046
172.75,-47.5,-0.00186,-0.00452
172.9,-47.5,-0.00188,-0.00444
173.05,-47.5,-0.0019,-0.00434
173.2,-47.5,-0.00193,-0.00423
173.35,-47.5,-0.00196,-0.00411
173.5,-47.5,-0.00198,-0.00397
173.65,-47.5,-0.00201,-0.00383
173.8,-47.5,-0.00204,-0.00368
173.95,-47.5,-0.00208,-0.00352
174.1,-47.5,-0.00211,-0.00336
174.25,-47.5,-0.00215,-0.00318
174.4,-47.5,-0.00219,-0.00301
174.55,-47.5,-0.00224,-0.00282
174.7,-47.5,-0.00228,-0.00264
174.85,-47.5,-0.00233,-0.00245
175,-47.5,-0.00238,-0.00226
175.15,-47.5,-0.00243,-0.00207
175.3,-47.5,-0.00249,-0.00187
175.45,-47.5,-0.00254,-0.00168
175.6,-47.5,-0.0026,-0.0015
175.75,-47.5,-0.00266,-0.00131
175.9,-47.5,-0.00271,-0.00113
176.05,-47.5,-0.00277,-0.00095
176.2,-47.5,-0.00283,-0.00078
176.35,-47.5,-0.00289,-0.00061
176.5,-47.5,-0.00294,-0.00045
176.65,-47.5,-0.003,-0.00029
176.8,-47.5,-0.00305,-0.00015
176.95,-47.5,-0.00311,-0
177.1,-47.5,-0.00316,0.00013
177.25,-47.5,-0.00321,0.00026
177.4,-47.5,-0.00325,0.00038
177.55,-47.5,-0.0033,0.00049
177.7,-47.5,-0.00334,0.0006
177.85,-47.5,-0.00337,0.0007
178,-47.5,-0.00341,0.00079
178.15,-47.5,-0.00344,0.00088
178.3,-47.5,-0.00347,0.00096
178.45,-47.5,-0.0035,0.00103
178.6,-47.5,-0.00352,0.00109
178.75,-47.5,-0.00354,0.00115
178.9,-47.5,-0.00356,0.00121
179.05,-47.5,-0.00357,0.00126
165.85,-47.375,-0.00009,-0.00187
166,-47.375,-0.00012,-0.00194
166.15,-47.375,-0.00016,-0.00201
166.3,-47.375,-0.0002,-0.00208
166.45,-47.375,-0.00024,-0.00215
166.6,-47.375,-0.00028,-0.00223
166.75,-47.375,-0.00032,-0.0023
166.9,-47.375,-0.00036,-0.00238
167.05,-47.375,-0.0004,-0.00247
167.2,-47.375,-0.00045,-0.00255
167.35,-47.375,-0.0005,-0.00264
167.5,-47.375,-0.00054,-0.00273
167.65,-47.375,-0.00059,-0.00282
167.8,-47.375,-0.00064,-0.00292
167.95,-47.375,-0.00069,-0.00301
168.1,-47.375,-0.00074,-0.00311
168.25,-47.375,-0.00079,-0.00321
168.4,-47.375,-0.00084,-0.00331
168.55,-47.375,-0.00089,-0.00341
168.7,-47.375,-0.00095,-0.00352
168.85,-47.375,-0.001,-0.00362
169,-47.375,-0.00105,-0.00373
169.15,-47.375,-0.0011,-0.00383
169.3,-47.375,-0.00115,-0.00394
169.45,-47.375,-0.0012,-0.00404
169.6,-47.375,-0.00125,-0.00414
169.75,-47.375,-0.0013,-0.00424
169.9,-47.375,-0.00134,-0.00433
170.05,-47.375,-0.00139,-0.00443
170.2,-47.375,-0.00143,-0.00452
170.35,-47.375,-0.00148,-0.0046
170.5,-47.375,-0.00152,-0.00468
170.65,-47.375,-0.00156,-0.00475
170.8,-47.375,-0.00159,-0.00482
170.95,-47.375,-0.00163,-0.00488
171.1,-47.375,-0.00166,-0.00493
171.25,-47.375,-0.00169,-0.00497
171.4,-47.375,-0.00172,-0.005
171.55,-47.375,-0.00175,-0.00502
171.7,-47.375,-0.00178,-0.00503
171.85,-47.375,-0.00181,-0.00503
172,-47.375,-0.00183,-0.00501
172.15,-47.375,-0.00185,-0.00498
172.3,-47.375,-0.00188,-0.00494
172.45,-47.375,-0.0019,-0.00489
172.6,-47.375,-0.00192,-0.00483
172.75,-47.375,-0.00195,-0.00475
172.9,-47.375,-0.00197,-0.00465
173.05,-47.375,-0.002,-0.00455
173.2,-47.375,-0.00202,-0.00443
173.35,-47.375,-0.00205,-0.0043
173.5,-47.375,-0.00208,-0.00416
173.65,-47.375,-0.00211,-0.00401
173.8,-47.375,-0.00215,-0.00385
173.95,-47.375,-0.00218,-0.00368
174.1,-47.375,-0.00222,-0.0035
174.25,-47.375,-0.00226,-0.00331
174.4,-47.375,-0.00231,-0.00312
174.55,-47.375,-0.00236,-0.00292
174.7,-47.375,-0.00241,-0.00272
174.85,-47.375,-0.00246,-0.00252
175,-47.375,-0.00251,-0.00231
175.15,-47.375,-0.00257,-0.00211
175.3,-47.375,-0.00263,-0.0019
175.45,-47.375,-0.00269,-0.0017
175.6,-47.375,-0.00275,-0.0015
175.75,-47.375,-0.00281,-0.0013
175.9,-47.375,-0.00287,-0.00111
176.05,-47.375,-0.00293,-0.00092
176.2,-47.375,-0.00299,-0.00074
176.35,-47.375,-0.00306,-0.00056
176.5,-47.375,-0.00312,-0.00039
176.65,-47.375,-0.00317,-0.00023
176.8,-47.375,-0.00323,-0.00007
176.95,-47.375,-0.00329,0.00008
177.1,-47.375,-0.00334,0.00022
177.25,-47.375,-0.00339,0.00035
177.4,-47.375,-0.00344,0.00048
177.55,-47.375,-0.00348,0.00059
177.7,-47.375,-0.00353,0.0007
177.85,-47.375,-0.00357,0.0008
178,-47.375,-0.0036,0.0009
178.15,-47.375,-0.00363,0.00098
178.3,-47.375,-0.00366,0.00106
178.45,-47.375,-0.00369,0.00114
178.6,-47.375,-0.00371,0.0012
178.75,-47.375,-0.00373,0.00126
178.9,-47.375,-0.00374,0.00131
179.05,-47.375,-0.00376,0.00136
165.85,-47.25,-0.00004,-0.00187
166,-47.25,-0.00008,-0.00194
166.15,-47.25,-0.00012,-0.00201
166.3,-47.25,-0.00015,-0.00208
166.45,-47.25,-0.00019,-0.00216
