lon,lat,du
166.3,-47.625,-0.00118
166.45,-47.625,-0.00123
166.6,-47.625,-0.00127
166.75,-47.625,-0.00131
166.9,-47.625,-0.00136
167.05,-47.625,-0.00141
167.2,-47.625,-0.00145
167.35,-47.625,-0.0015
167.5,-47.625,-0.00155
167.65,-47.625,-0.0016
167.8,-47.625,-0.00165
167.95,-47.625,-0.00171
168.1,-47.625,-0.00176
168.25,-47.625,-0.00181
168.4,-47.625,-0.00186
168.55,-47.625,-0.00192
168.7,-47.625,-0.00197
168.85,-47.625,-0.00202
169,-47.625,-0.00208
169.15,-47.625,-0.00213
169.3,-47.625,-0.00218
169.45,-47.625,-0.00223
169.6,-47.625,-0.00228
169.75,-47.625,-0.00233
169.9,-47.625,-0.00238
170.05,-47.625,-0.00242
170.2,-47.625,-0.00247
170.35,-47.625,-0.00251
170.5,-47.625,-0.00255
170.65,-47.625,-0.00258
170.8,-47.625,-0.00261
170.95,-47.625,-0.00264
171.1,-47.625,-0.00267
171.25,-47.625,-0.00269
171.4,-47.625,-0.0027
171.55,-47.625,-0.00271
171.7,-47.625,-0.00272
171.85,-47.625,-0.00272
172,-47.625,-0.00272
172.15,-47.625,-0.00271
172.3,-47.625,-0.0027
172.45,-47.625,-0.00268
172.6,-47.625,-0.00265
172.75,-47.625,-0.00262
172.9,-47.625,-0.00259
173.05,-47.625,-0.00254
173.2,-47.625,-0.0025
173.35,-47.625,-0.00244
173.5,-47.625,-0.00239
173.65,-47.625,-0.00232
173.8,-47.625,-0.00226
173.95,-47.625,-0.00219
174.1,-47.625,-0.00211
174.25,-47.625,-0.00203
174.4,-47.625,-0.00195
174.55,-47.625,-0.00187
174.7,-47.625,-0.00178
174.85,-47.625,-0.00169
175,-47.625,-0.0016
175.15,-47.625,-0.0015
175.3,-47.625,-0.00141
175.45,-47.625,-0.00132
175.6,-47.625,-0.00122
175.75,-47.625,-0.00113
175.9,-47.625,-0.00103
176.05,-47.625,-0.00094
176.2,-47.625,-0.00085
176.35,-47.625,-0.00076
176.5,-47.625,-0.00067
176.65,-47.625,-0.00059
176.8,-47.625,-0.0005
176.95,-47.625,-0.00042
177.1,-47.625,-0.00034
177.25,-47.625,-0.00026
177.4,-47.625,-0.00019
177.55,-47.625,-0.00012
177.7,-47.625,-0.00005
177.85,-47.625,0.00001
178,-47.625,0.00008
178.15,-47.625,0.00014
178.3,-47.625,0.00019
178.45,-47.625,0.00025
178.6,-47.625,0.0003
178.75,-47.625,0.00034
178.9,-47.625,0.00039
179.05,-47.625,0.00043
166.3,-47.5,-0.00118
166.45,-47.5,-0.00123
166.6,-47.5,-0.00127
166.75,-47.5,-0.00132
166.9,-47.5,-0.00137
167.05,-47.5,-0.00142
167.2,-47.5,-0.00147
167.35,-47.5,-0.00152
167.5,-47.5,-0.00157
167.65,-47.5,-0.00162
167.8,-47.5,-0.00168
167.95,-47.5,-0.00173
168.1,-47.5,-0.00179
168.25,-47.5,-0.00184
168.4,-47.5,-0.0019
168.55,-47.5,-0.00196
168.7,-47.5,-0.00201
168.85,-47.5,-0.00207
169,-47.5,-0.00213
169.15,-47.5,-0.00219
169.3,-47.5,-0.00224
169.45,-47.5,-0.0023
169.6,-47.5,-0.00235
169.75,-47.5,-0.0024
169.9,-47.5,-0.00246
170.05,-47.5,-0.00251
170.2,-47.5,-0.00255
170.35,-47.5,-0.0026
170.5,-47.5,-0.00264
170.65,-47.5,-0.00268
170.8,-47.5,-0.00272
170.95,-47.5,-0.00275
171.1,-47.5,-0.00278
171.25,-47.5,-0.0028
171.4,-47.5,-0.00282
171.55,-47.5,-0.00283
171.7,-47.5,-0.00284
171.85,-47.5,-0.00285
172,-47.5,-0.00284
172.15,-47.5,-0.00284
172.3,-47.5,-0.00282
172.45,-47.5,-0.0028
172.6,-47.5,-0.00278
172.75,-47.5,-0.00274
172.9,-47.5,-0.00271
173.05,-47.5,-0.00266
173.2,-47.5,-0.00261
173.35,-47.5,-0.00256
173.5,-47.5,-0.0025
173.65,-47.5,-0.00243
173.8,-47.5,-0.00236
173.95,-47.5,-0.00228
174.1,-47.5,-0.0022
174.25,-47.5,-0.00212
174.4,-47.5,-0.00203
174.55,-47.5,-0.00194
174.7,-47.5,-0.00184
174.85,-47.5,-0.00175
175,-47.5,-0.00165
175.15,-47.5,-0.00155
175.3,-47.5,-0.00145
175.45,-47.5,-0.00135
175.6,-47.5,-0.00125
175.75,-47.5,-0.00115
175.9,-47.5,-0.00105
176.05,-47.5,-0.00095
176.2,-47.5,-0.00085
176.35,-47.5,-0.00075
176.5,-47.5,-0.00066
176.65,-47.5,-0.00057
176.8,-47.5,-0.00048
176.95,-47.5,-0.00039
177.1,-47.5,-0.00031
177.25,-47.5,-0.00023
177.4,-47.5,-0.00015
177.55,-47.5,-0.00008
177.7,-47.5,-0.00001
177.85,-47.5,0.00006
178,-47.5,0.00012
178.15,-47.5,0.00019
178.3,-47.5,0.00024
178.45,-47.5,0.0003
178.6,-47.5,0.00035
178.75,-47.5,0.0004
178.9,-47.5,0.00044
179.05,-47.5,0.00048
166.3,-47.375,-0.00118
166.45,-47.375,-0.00123
166.6,-47.375,-0.00128
166.75,-47.375,-0.00132
166.9,-47.375,-0.00137
167.05,-47.375,-0.00142
167.2,-47.375,-0.00148
167.35,-47.375,-0.00153
167.5,-47.375,-0.00158
167.65,-47.375,-0.00164
167.8,-47.375,-0.0017
167.95,-47.375,-0.00176
168.1,-47.375,-0.00181
168.25,-47.375,-0.00187
168.4,-47.375,-0.00193
168.55,-47.375,-0.002
168.7,-47.375,-0.00206
168.85,-47.375,-0.00212
169,-47.375,-0.00218
169.15,-47.375,-0.00224
169.3,-47.375,-0.0023
169.45,-47.375,-0.00236
169.6,-47.375,-0.00242
169.75,-47.375,-0.00248
169.9,-47.375,-0.00254
170.05,-47.375,-0.00259
170.2,-47.375,-0.00264
170.35,-47.375,-0.00269
170.5,-47.375,-0.00274
170.65,-47.375,-0.00278
170.8,-47.375,-0.00282
170.95,-47.375,-0.00286
171.1,-47.375,-0.00289
171.25,-47.375,-0.00292
171.4,-47.375,-0.00294
171.55,-47.375,-0.00296
171.7,-47.375,-0.00297
171.85,-47.375,-0.00298
172,-47.375,-0.00298
172.15,-47.375,-0.00297
172.3,-47.375,-0.00296
172.45,-47.375,-0.00294
172.6,-47.375,-0.00291
172.75,-47.375,-0.00288
172.9,-47.375,-0.00284
173.05,-47.375,-0.00279
173.2,-47.375,-0.00274
173.35,-47.375,-0.00268
173.5,-47.375,-0.00261
173.65,-47.375,-0.00254
173.8,-47.375,-0.00246
173.95,-47.375,-0.00238
174.1,-47.375,-0.0023
174.25,-47.375,-0.0022
174.4,-47.375,-0.00211
174.55,-47.375,-0.00201
174.7,-47.375,-0.00191
174.85,-47.375,-0.00181
175,-47.375,-0.0017
175.15,-47.375,-0.00159
175.3,-47.375,-0.00149
175.45,-47.375,-0.00138
175.6,-47.375,-0.00127
175.75,-47.375,-0.00116
175.9,-47.375,-0.00106
176.05,-47.375,-0.00095
176.2,-47.375,-0.00085
176.35,-47.375,-0.00075
176.5,-47.375,-0.00065
176.65,-47.375,-0.00055
176.8,-47.375,-0.00046
176.95,-47.375,-0.00036
177.1,-47.375,-0.00028
177.25,-47.375,-0.00019
177.4,-47.375,-0.00011
177.55,-47.375,-0.00003
177.7,-47.375,0.00004
177.85,-47.375,0.00011
178,-47.375,0.00018
178.15,-47.375,0.00024
178.3,-47.375,0.0003
178.45,-47.375,0.00036
178.6,-47.375,0.00041
178.75,-47.375,0.00046
178.9,-47.375,0.0005
179.05,-47.375,0.00054
166.3,-47.25,-0.00118
166.45,-47.25,-0.00123
166.6,-47.25,-0.00128
166.75,-47.25,-0.00133
166.9,-47.25,-0.00138
167.05,-47.25,-0.00143
167.2,-47.25,-0.00148
167.35,-47.25,-0.00154
167.5,-47.25,-0.0016
167.65,-47.25,-0.00166
167.8,-47.25,-0.00172
167.95,-47.25,-0.00178
168.1,-47.25,-0.00184
168.25,-47.25,-0.0019
168.4,-47.25,-0.00197
168.55,-47.25,-0.00203
168.7,-47.25,-0.0021
168.85,-47.25,-0.00217
169,-47.25,-0.00223
169.15,-47.25,-0.0023
169.3,-47.25,-0.00236
169.45,-47.25,-0.00243
169.6,-47.25,-0.00249
169.75,-47.25,-0.00256
169.9,-47.25,-0.00262
170.05,-47.25,-0.00268
170.2,-47.25,-0.00274
170.35,-47.25,-0.00279
170.5,-47.25,-0.00284
170.65,-47.25,-0.00289
170.8,-47.25,-0.00294
170.95,-47.25,-0.00298
171.1,-47.25,-0.00302
171.25,-47.25,-0.00305
171.4,-47.25,-0.00307
171.55,-47.25,-0.00309
171.7,-47.25,-0.00311
171.85,-47.25,-0.00312
172,-47.25,-0.00312
172.15,-47.25,-0.00311
172.3,-47.25,-0.0031
172.45,-47.25,-0.00308
172.6,-47.25,-0.00305
172.75,-47.25,-0.00302
172.9,-47.25,-0.00298
173.05,-47.25,-0.00293
173.2,-47.25,-0.00287
173.35,-47.25,-0.00281
173.5,-47.25,-0.00274
173.65,-47.25,-0.00266
173.8,-47.25,-0.00258
173.95,-47.25,-0.00249
174.1,-47.25,-0.0024
174.25,-47.25,-0.0023
174.4,-47.25,-0.0022
174.55,-47.25,-0.00209
174.7,-47.25,-0.00198
174.85,-47.25,-0.00187
175,-47.25,-0.00176
175.15,-47.25,-0.00164
175.3,-47.25,-0.00153
175.45,-47.25,-0.00141
175.6,-47.25,-0.00129
175.75,-47.25,-0.00118
175.9,-47.25,-0.00106
176.05,-47.25,-0.00095
176.2,-47.25,-0.00084
176.35,-47.25,-0.00073
176.5,-47.25,-0.00063
176.65,-47.25,-0.00052
176.8,-47.25,-0.00043
176.95,-47.25,-0.00033
177.1,-47.25,-0.00024
177.25,-47.25,-0.00015
177.4,-47.25,-0.00006
177.55,-47.25,0.00002
177.7,-47.25,0.00009
177.85,-47.25,0.00017
178,-47.25,0.00023
178.15,-47.25,0.0003
178.3,-47.25,0.00036
178.45,-47.25,0.00042
178.6,-47.25,0.00047
178.75,-47.25,0.00052
178.9,-47.25,0.00057
179.05,-47.25,0.00061
166.3,-47.125,-0.00117
166.45,-47.125,-0.00122
166.6,-47.125,-0.00127
166.75,-47.125,-0.00132
166.9,-47.125,-0.00138
167.05,-47.125,-0.00143
167.2,-47.125,-0.00149
167.35,-47.125,-0.00155
167.5,-47.125,-0.00161
167.65,-47.125,-0.00167
167.8,-47.125,-0.00174
167.95,-47.125,-0.0018
168.1,-47.125,-0.00187
168.25,-47.125,-0.00193
168.4,-47.125,-0.002
168.55,-47.125,-0.00207
168.7,-47.125,-0.00214
168.85,-47.125,-0.00221
169,-47.125,-0.00228
169.15,-47.125,-0.00235
169.3,-47.125,-0.00243
169.45,-47.125,-0.0025
169.6,-47.125,-0.00257
169.75,-47.125,-0.00264
169.9,-47.125,-0.0027
170.05,-47.125,-0.00277
170.2,-47.125,-0.00283
170.35,-47.125,-0.00289
170.5,-47.125,-0.00295
170.65,-47.125,-0.00301
170.8,-47.125,-0.00306
170.95,-47.125,-0.0031
171.1,-47.125,-0.00315
171.25,-47.125,-0.00318
171.4,-47.125,-0.00321
171.55,-47.125,-0.00324
171.7,-47.125,-0.00325
171.85,-47.125,-0.00327
172,-47.125,-0.00327
172.15,-47.125,-0.00327
172.3,-47.125,-0.00325
172.45,-47.125,-0.00323
172.6,-47.125,-0.00321
172.75,-47.125,-0.00317
172.9,-47.125,-0.00313
173.05,-47.125,-0.00307
173.2,-47.125,-0.00301
173.35,-47.125,-0.00295
173.5,-47.125,-0.00287
173.65,-47.125,-0.00279
173.8,-47.125,-0.0027
173.95,-47.125,-0.00261
174.1,-47.125,-0.0025
174.25,-47.125,-0.0024
174.4,-47.125,-0.00229
174.55,-47.125,-0.00217
174.7,-47.125,-0.00206
174.85,-47.125,-0.00194
175,-47.125,-0.00181
175.15,-47.125,-0.00169
175.3,-47.125,-0.00156
175.45,-47.125,-0.00144
175.6,-47.125,-0.00131
175.75,-47.125,-0.00119
175.9,-47.125,-0.00107
176.05,-47.125,-0.00095
176.2,-47.125,-0.00083
176.35,-47.125,-0.00072
176.5,-47.125,-0.0006
176.65,-47.125,-0.0005
176.8,-47.125,-0.00039
176.95,-47.125,-0.00029
177.1,-47.125,-0.00019
177.25,-47.125,-0.0001
177.4,-47.125,-0.00001
177.55,-47.125,0.00007
177.7,-47.125,0.00015
177.85,-47.125,0.00023
178,-47.125,0.0003
178.15,-47.125,0.00036
178.3,-47.125,0.00043
178.45,-47.125,0.00048
178.6,-47.125,0.00054
178.75,-47.125,0.00059
178.9,-47.125,0.00064
179.05,-47.125,0.00068
166.3,-47,-0.00117
166.45,-47,-0.00122
166.6,-47,-0.00127
166.75,-47,-0.00132
166.9,-47,-0.00138
167.05,-47,-0.00144
167.2,-47,-0.00149
167.35,-47,-0.00156
167.5,-47,-0.00162
167.65,-47,-0.00168
167.8,-47,-0.00175
167.95,-47,-0.00182
168.1,-47,-0.00189
168.25,-47,-0.00196
168.4,-47,-0.00203
168.55,-47,-0.00211
168.7,-47,-0.00218
168.85,-47,-0.00226
169,-47,-0.00233
169.15,-47,-0.00241
169.3,-47,-0.00249
169.45,-47,-0.00256
169.6,-47,-0.00264
169.75,-47,-0.00272
169.9,-47,-0.00279
170.05,-47,-0.00286
170.2,-47,-0.00293
170.35,-47,-0.003
170.5,-47,-0.00306
170.65,-47,-0.00313
170.8,-47,-0.00318
170.95,-47,-0.00323
171.1,-47,-0.00328
171.25,-47,-0.00332
171.4,-47,-0.00336
171.55,-47,-0.00339
171.7,-47,-0.00341
171.85,-47,-0.00342
172,-47,-0.00343
172.15,-47,-0.00343
172.3,-47,-0.00342
172.45,-47,-0.0034
172.6,-47,-0.00337
172.75,-47,-0.00333
172.9,-47,-0.00329
173.05,-47,-0.00323
173.2,-47,-0.00317
173.35,-47,-0.0031
173.5,-47,-0.00302
173.65,-47,-0.00293
173.8,-47,-0.00283
173.95,-47,-0.00273
174.1,-47,-0.00262
174.25,-47,-0.00251
174.4,-47,-0.00239
174.55,-47,-0.00226
174.7,-47,-0.00213
174.85,-47,-0.002
175,-47,-0.00187
175.15,-47,-0.00174
175.3,-47,-0.0016
175.45,-47,-0.00147
175.6,-47,-0.00134
175.75,-47,-0.0012
175.9,-47,-0.00107
176.05,-47,-0.00094
176.2,-47,-0.00082
176.35,-47,-0.0007
176.5,-47,-0.00058
176.65,-47,-0.00046
176.8,-47,-0.00035
176.95,-47,-0.00025
177.1,-47,-0.00014
177.25,-47,-0.00005
177.4,-47,0.00005
177.55,-47,0.00013
177.7,-47,0.00022
177.85,-47,0.00029
178,-47,0.00037
178.15,-47,0.00043
178.3,-47,0.0005
178.45,-47,0.00056
178.6,-47,0.00061
178.75,-47,0.00066
178.9,-47,0.00071
179.05,-47,0.00075
166.3,-46.875,-0.00115
166.45,-46.875,-0.00121
166.6,-46.875,-0.00126
166.75,-46.875,-0.00132
166.9,-46.875,-0.00137
167.05,-46.875,-0.00143
167.2,-46.875,-0.0015
167.35,-46.875,-0.00156
167.5,-46.875,-0.00163
167.65,-46.875,-0.00169
167.8,-46.875,-0.00176
167.95,-46.875,-0.00184
168.1,-46.875,-0.00191
168.25,-46.875,-0.00198
168.4,-46.875,-0.00206
168.55,-46.875,-0.00214
168.7,-46.875,-0.00222
168.85,-46.875,-0.0023
169,-46.875,-0.00238
169.15,-46.875,-0.00247
169.3,-46.875,-0.00255
169.45,-46.875,-0.00263
169.6,-46.875,-0.00271
169.75,-46.875,-0.0028
169.9,-46.875,-0.00288
170.05,-46.875,-0.00296
170.2,-46.875,-0.00303
170.35,-46.875,-0.00311
170.5,-46.875,-0.00318
170.65,-46.875,-0.00325
170.8,-46.875,-0.00331
170.95,-46.875,-0.00337
171.1,-46.875,-0.00343
171.25,-46.875,-0.00347
171.4,-46.875,-0.00352
171.55,-46.875,-0.00355
171.7,-46.875,-0.00358
171.85,-46.875,-0.00359
172,-46.875,-0.0036
172.15,-46.875,-0.0036
172.3,-46.875,-0.0036
172.45,-46.875,-0.00358
172.6,-46.875,-0.00355
172.75,-46.875,-0.00351
172.9,-46.875,-0.00346
173.05,-46.875,-0.0034
173.2,-46.875,-0.00333
173.35,-46.875,-0.00326
173.5,-46.875,-0.00317
173.65,-46.875,-0.00308
173.8,-46.875,-0.00297
173.95,-46.875,-0.00286
174.1,-46.875,-0.00274
174.25,-46.875,-0.00262
174.4,-46.875,-0.00249
174.55,-46.875,-0.00235
174.7,-46.875,-0.00222
174.85,-46.875,-0.00208
175,-46.875,-0.00193
175.15,-46.875,-0.00179
175.3,-46.875,-0.00164
175.45,-46.875,-0.0015
175.6,-46.875,-0.00135
175.75,-46.875,-0.00121
175.9,-46.875,-0.00107
176.05,-46.875,-0.00093
176.2,-46.875,-0.0008
176.35,-46.875,-0.00067
176.5,-46.875,-0.00054
176.65,-46.875,-0.00042
176.8,-46.875,-0.00031
176.95,-46.875,-0.00019
177.1,-46.875,-0.00009
177.25,-46.875,0.00001
177.4,-46.875,0.00011
177.55,-46.875,0.0002
177.7,-46.875,0.00029
177.85,-46.875,0.00037
178,-46.875,0.00044
178.15,-46.875,0.00051
178.3,-46.875,0.00058
178.45,-46.875,0.00064
178.6,-46.875,0.00069
178.75,-46.875,0.00074
178.9,-46.875,0.00079
179.05,-46.875,0.00083
166.3,-46.75,-0.00114
166.45,-46.75,-0.00119
166.6,-46.75,-0.00125
166.75,-46.75,-0.00131
166.9,-46.75,-0.00137
167.05,-46.75,-0.00143
167.2,-46.75,-0.00149
167.35,-46.75,-0.00156
167.5,-46.75,-0.00163
167.65,-46.75,-0.0017
167.8,-46.75,-0.00177
167.95,-46.75,-0.00185
168.1,-46.75,-0.00193
168.25,-46.75,-0.00201
168.4,-46.75,-0.00209
168.55,-46.75,-0.00217
168.7,-46.75,-0.00226
168.85,-46.75,-0.00234
169,-46.75,-0.00243
169.15,-46.75,-0.00252
169.3,-46.75,-0.00261
169.45,-46.75,-0.0027
169.6,-46.75,-0.00279
169.75,-46.75,-0.00288
169.9,-46.75,-0.00297
170.05,-46.75,-0.00306
170.2,-46.75,-0.00314
170.35,-46.75,-0.00322
170.5,-46.75,-0.0033
170.65,-46.75,-0.00338
170.8,-46.75,-0.00345
170.95,-46.75,-0.00352
171.1,-46.75,-0.00358
171.25,-46.75,-0.00363
171.4,-46.75,-0.00368
171.55,-46.75,-0.00372
171.7,-46.75,-0.00375
171.85,-46.75,-0.00378
172,-46.75,-0.00379
172.15,-46.75,-0.00379
172.3,-46.75,-0.00379
172.45,-46.75,-0.00377
172.6,-46.75,-0.00374
172.75,-46.75,-0.0037
172.9,-46.75,-0.00365
173.05,-46.75,-0.00359
173.2,-46.75,-0.00351
173.35,-46.75,-0.00343
173.5,-46.75,-0.00334
173.65,-46.75,-0.00324
173.8,-46.75,-0.00312
173.95,-46.75,-0.003
174.1,-46.75,-0.00287
174.25,-46.75,-0.00274
174.4,-46.75,-0.0026
174.55,-46.75,-0.00245
174.7,-46.75,-0.0023
174.85,-46.75,-0.00215
175,-46.75,-0.002
175.15,-46.75,-0.00184
175.3,-46.75,-0.00168
175.45,-46.75,-0.00153
175.6,-46.75,-0.00137
175.75,-46.75,-0.00122
175.9,-46.75,-0.00107
176.05,-46.75,-0.00092
176.2,-46.75,-0.00078
176.35,-46.75,-0.00064
176.5,-46.75,-0.0005
176.65,-46.75,-0.00038
176.8,-46.75,-0.00025
176.95,-46.75,-0.00013
177.1,-46.75,-0.00002
177.25,-46.75,0.00008
177.4,-46.75,0.00018
177.55,-46.75,0.00028
177.7,-46.75,0.00037
177.85,-46.75,0.00045
178,-46.75,0.00052
178.15,-46.75,0.0006
178.3,-46.75,0.00066
178.45,-46.75,0.00072
178.6,-46.75,0.00078
178.75,-46.75,0.00083
178.9,-46.75,0.00087
179.05,-46.75,0.00092
166.3,-46.625,-0.00112
166.45,-46.625,-0.00118
166.6,-46.625,-0.00124
166.75,-46.625,-0.00129
166.9,-46.625,-0.00136
167.05,-46.625,-0.00142
167.2,-46.625,-0.00149
167.35,-46.625,-0.00156
167.5,-46.625,-0.00163
167.65,-46.625,-0.0017
167.8,-46.625,-0.00178
167.95,-46.625,-0.00186
168.1,-46.625,-0.00194
168.25,-46.625,-0.00203
168.4,-46.625,-0.00211
168.55,-46.625,-0.0022
168.7,-46.625,-0.00229
168.85,-46.625,-0.00238
169,-46.625,-0.00248
169.15,-46.625,-0.00257
169.3,-46.625,-0.00267
169.45,-46.625,-0.00277
169.6,-46.625,-0.00287
169.75,-46.625,-0.00296
169.9,-46.625,-0.00306
170.05,-46.625,-0.00316
170.2,-46.625,-0.00325
170.35,-46.625,-0.00334
170.5,-46.625,-0.00343
170.65,-46.625,-0.00351
170.8,-46.625,-0.0036
170.95,-46.625,-0.00367
171.1,-46.625,-0.00374
171.25,-46.625,-0.0038
171.4,-46.625,-0.00386
171.55,-46.625,-0.0039
171.7,-46.625,-0.00394
171.85,-46.625,-0.00397
172,-46.625,-0.00399
172.15,-46.625,-0.004
172.3,-46.625,-0.00399
172.45,-46.625,-0.00397
172.6,-46.625,-0.00395
172.75,-46.625,-0.00391
172.9,-46.625,-0.00385
173.05,-46.625,-0.00379
173.2,-46.625,-0.00371
173.35,-46.625,-0.00362
173.5,-46.625,-0.00352
173.65,-46.625,-0.00341
173.8,-46.625,-0.00329
173.95,-46.625,-0.00316
174.1,-46.625,-0.00302
174.25,-46.625,-0.00287
174.4,-46.625,-0.00272
174.55,-46.625,-0.00256
174.7,-46.625,-0.00239
174.85,-46.625,-0.00223
175,-46.625,-0.00206
175.15,-46.625,-0.00189
175.3,-46.625,-0.00172
175.45,-46.625,-0.00155
175.6,-46.625,-0.00138
175.75,-46.625,-0.00122
175.9,-46.625,-0.00106
176.05,-46.625,-0.0009
176.2,-46.625,-0.00075
176.35,-46.625,-0.0006
176.5,-46.625,-0.00046
176.65,-46.625,-0.00032
176.8,-46.625,-0.00019
176.95,-46.625,-0.00007
177.1,-46.625,0.00005
177.25,-46.625,0.00016
177.4,-46.625,0.00026
177.55,-46.625,0.00036
177.7,-46.625,0.00045
177.85,-46.625,0.00054
178,-46.625,0.00062
178.15,-46.625,0.00069
178.3,-46.625,0.00075
178.45,-46.625,0.00081
178.6,-46.625,0.00087
178.75,-46.625,0.00092
178.9,-46.625,0.00096
179.05,-46.625,0.00101
166.3,-46.5,-0.0011
166.45,-46.5,-0.00116
166.6,-46.5,-0.00122
166.75,-46.5,-0.00128
166.9,-46.5,-0.00134
167.05,-46.5,-0.00141
167.2,-46.5,-0.00148
167.35,-46.5,-0.00155
167.5,-46.5,-0.00162
167.65,-46.5,-0.0017
167.8,-46.5,-0.00178
167.95,-46.5,-0.00187
168.1,-46.5,-0.00195
168.25,-46.5,-0.00204
168.4,-46.5,-0.00213
168.55,-46.5,-0.00223
168.7,-46.5,-0.00232
168.85,-46.5,-0.00242
169,-46.5,-0.00252
169.15,-46.5,-0.00263
169.3,-46.5,-0.00273
169.45,-46.5,-0.00284
169.6,-46.5,-0.00294
169.75,-46.5,-0.00305
169.9,-46.5,-0.00315
170.05,-46.5,-0.00326
170.2,-46.5,-0.00336
170.35,-46.5,-0.00346
