lon,lat,du
172.675,-43.03125,-0.0024
172.7125,-43.03125,-0.00256
172.75,-43.03125,-0.00272
172.7875,-43.03125,-0.00292
172.825,-43.03125,-0.00311
172.8625,-43.03125,-0.00331
172.9,-43.03125,-0.0035
172.9375,-43.03125,-0.00368
172.975,-43.03125,-0.00386
173.0125,-43.03125,-0.00405
173.05,-43.03125,-0.00423
173.0875,-43.03125,-0.00419
173.125,-43.03125,-0.00415
173.1625,-43.03125,-0.00411
173.2,-43.03125,-0.00408
173.2375,-43.03125,-0.00381
173.275,-43.03125,-0.00354
173.3125,-43.03125,-0.00327
173.35,-43.03125,-0.003
173.3875,-43.03125,-0.00281
173.425,-43.03125,-0.00262
173.4625,-43.03125,-0.00243
173.5,-43.03125,-0.00224
173.5375,-43.03125,-0.00215
173.575,-43.03125,-0.00206
173.6125,-43.03125,-0.00197
173.65,-43.03125,-0.00188
173.6875,-43.03125,-0.00182
173.725,-43.03125,-0.00176
173.7625,-43.03125,-0.00169
173.8,-43.03125,-0.00163
173.8375,-43.03125,-0.00156
173.875,-43.03125,-0.00149
173.9125,-43.03125,-0.00142
173.95,-43.03125,-0.00135
173.9875,-43.03125,-0.00128
174.025,-43.03125,-0.00121
174.0625,-43.03125,-0.00114
174.1,-43.03125,-0.00107
174.1375,-43.03125,-0.001
174.175,-43.03125,-0.00094
174.2125,-43.03125,-0.00087
174.25,-43.03125,-0.00081
174.2875,-43.03125,-0.00076
174.325,-43.03125,-0.0007
174.3625,-43.03125,-0.00065
174.4,-43.03125,-0.0006
174.4375,-43.03125,-0.00055
174.475,-43.03125,-0.00051
174.5125,-43.03125,-0.00047
174.55,-43.03125,-0.00042
174.5875,-43.03125,-0.00039
174.625,-43.03125,-0.00035
174.6625,-43.03125,-0.00032
174.7,-43.03125,-0.00028
174.7375,-43.03125,-0.00025
174.775,-43.03125,-0.00022
174.8125,-43.03125,-0.00019
174.85,-43.03125,-0.00016
174.8875,-43.03125,-0.00013
174.925,-43.03125,-0.00011
174.9625,-43.03125,-0.00008
175,-43.03125,-0.00005
175.0375,-43.03125,-0.00003
175.075,-43.03125,-0.00001
175.1125,-43.03125,0.00002
175.15,-43.03125,0.00004
175.1875,-43.03125,0.00006
175.225,-43.03125,0.00008
175.2625,-43.03125,0.00009
175.3,-43.03125,0.00011
175.3375,-43.03125,0.00013
172.675,-43,-0.00258
172.7125,-43,-0.00275
172.75,-43,-0.00293
172.7875,-43,-0.00316
172.825,-43,-0.00339
172.8625,-43,-0.00362
172.9,-43,-0.00384
172.9375,-43,-0.00406
172.975,-43,-0.00428
173.0125,-43,-0.0045
173.05,-43,-0.00471
173.0875,-43,-0.00484
173.125,-43,-0.00485
173.1625,-43,-0.00476
173.2,-43,-0.00456
173.2375,-43,-0.00419
173.275,-43,-0.00386
173.3125,-43,-0.00352
173.35,-43,-0.00319
173.3875,-43,-0.00297
173.425,-43,-0.00274
