lon,lat,du
173.696875,-42.53125,-0.00549
173.70625,-42.53125,-0.00567
173.715625,-42.53125,-0.00586
173.725,-42.53125,-0.00604
173.734375,-42.53125,-0.00613
173.74375,-42.53125,-0.00622
173.753125,-42.53125,-0.00632
173.7625,-42.53125,-0.00641
173.771875,-42.53125,-0.00634
173.78125,-42.53125,-0.00627
173.790625,-42.53125,-0.0062
173.8,-42.53125,-0.00613
173.809375,-42.53125,-0.00592
173.81875,-42.53125,-0.00571
173.828125,-42.53125,-0.0055
173.8375,-42.53125,-0.00529
173.846875,-42.53125,-0.00499
173.85625,-42.53125,-0.0047
173.865625,-42.53125,-0.00441
173.875,-42.53125,-0.00411
173.884375,-42.53125,-0.0038
173.89375,-42.53125,-0.00348
173.903125,-42.53125,-0.00316
173.9125,-42.53125,-0.00285
173.921875,-42.53125,-0.00255
173.93125,-42.53125,-0.00225
173.940625,-42.53125,-0.00196
173.95,-42.53125,-0.00166
173.959375,-42.53125,-0.00141
173.96875,-42.53125,-0.00116
173.978125,-42.53125,-0.00091
173.9875,-42.53125,-0.00066
173.996875,-42.53125,-0.00046
174.00625,-42.53125,-0.00026
174.015625,-42.53125,-0.00006
174.025,-42.53125,0.00014
174.034375,-42.53125,0.00029
174.04375,-42.53125,0.00044
174.053125,-42.53125,0.00059
174.0625,-42.53125,0.00074
174.071875,-42.53125,0.00085
174.08125,-42.53125,0.00095
174.090625,-42.53125,0.00106
174.1,-42.53125,0.00117
174.109375,-42.53125,0.00121
174.11875,-42.53125,0.00125
174.128125,-42.53125,0.00129
174.1375,-42.53125,0.00133
174.146875,-42.53125,0.00134
174.15625,-42.53125,0.00135
174.165625,-42.53125,0.00136
174.175,-42.53125,0.00138
174.184375,-42.53125,0.00139
174.19375,-42.53125,0.0014
174.203125,-42.53125,0.00141
174.2125,-42.53125,0.00142
174.221875,-42.53125,0.00143
174.23125,-42.53125,0.00144
174.240625,-42.53125,0.00145
174.25,-42.53125,0.00146
174.259375,-42.53125,0.00143
174.26875,-42.53125,0.00139
174.278125,-42.53125,0.00136
174.2875,-42.53125,0.00132
174.296875,-42.53125,0.00129
174.30625,-42.53125,0.00126
174.315625,-42.53125,0.00122
174.325,-42.53125,0.00119
174.334375,-42.53125,0.00115
174.34375,-42.53125,0.00112
174.353125,-42.53125,0.00109
174.3625,-42.53125,0.00105
174.371875,-42.53125,0.00102
174.38125,-42.53125,0.00098
174.390625,-42.53125,0.00095
174.4,-42.53125,0.00091
174.409375,-42.53125,0.00089
174.41875,-42.53125,0.00087
174.428125,-42.53125,0.00084
174.4375,-42.53125,0.00082
174.446875,-42.53125,0.00079
174.45625,-42.53125,0.00077
174.465625,-42.53125,0.00075
174.475,-42.53125,0.00072
174.484375,-42.53125,0.0007
174.49375,-42.53125,0.00067
174.503125,-42.53125,0.00065
174.5125,-42.53125,0.00063
174.521875,-42.53125,0.0006
174.53125,-42.53125,0.00058
174.540625,-42.53125,0.00055
173.696875,-42.5234375,-0.00603
173.70625,-42.5234375,-0.00632
173.715625,-42.5234375,-0.00654
173.725,-42.5234375,-0.00676
173.734375,-42.5234375,-0.00686
173.74375,-42.5234375,-0.00697
173.753125,-42.5234375,-0.00707
173.7625,-42.5234375,-0.00717
173.771875,-42.5234375,-0.00708
173.78125,-42.5234375,-0.00699
173.790625,-42.5234375,-0.00689
173.8,-42.5234375,-0.0068
173.809375,-42.5234375,-0.00655
173.81875,-42.5234375,-0.00629
173.828125,-42.5234375,-0.00604
173.8375,-42.5234375,-0.00578
173.846875,-42.5234375,-0.00544
173.85625,-42.5234375,-0.0051
173.865625,-42.5234375,-0.00476
173.875,-42.5234375,-0.00442
173.884375,-42.5234375,-0.00406
173.89375,-42.5234375,-0.0037
173.903125,-42.5234375,-0.00334
173.9125,-42.5234375,-0.00298
173.921875,-42.5234375,-0.00265
173.93125,-42.5234375,-0.00233
173.940625,-42.5234375,-0.002
173.95,-42.5234375,-0.00167
173.959375,-42.5234375,-0.0014
173.96875,-42.5234375,-0.00112
173.978125,-42.5234375,-0.00085
173.9875,-42.5234375,-0.00058
173.996875,-42.5234375,-0.00037
174.00625,-42.5234375,-0.00015
174.015625,-42.5234375,0.00006
174.025,-42.5234375,0.00027
174.034375,-42.5234375,0.00043
174.04375,-42.5234375,0.00059
174.053125,-42.5234375,0.00075
174.0625,-42.5234375,0.0009
174.071875,-42.5234375,0.00101
174.08125,-42.5234375,0.00111
174.090625,-42.5234375,0.00122
174.1,-42.5234375,0.00133
174.109375,-42.5234375,0.00137
174.11875,-42.5234375,0.00141
174.128125,-42.5234375,0.00145
174.1375,-42.5234375,0.00149
174.146875,-42.5234375,0.00149
174.15625,-42.5234375,0.00149
174.165625,-42.5234375,0.00149
174.175,-42.5234375,0.00148
174.184375,-42.5234375,0.00149
174.19375,-42.5234375,0.0015
174.203125,-42.5234375,0.00151
174.2125,-42.5234375,0.00152
174.221875,-42.5234375,0.00153
174.23125,-42.5234375,0.00154
174.240625,-42.5234375,0.00155
174.25,-42.5234375,0.00156
174.259375,-42.5234375,0.00152
174.26875,-42.5234375,0.00149
174.278125,-42.5234375,0.00145
174.2875,-42.5234375,0.00141
174.296875,-42.5234375,0.00137
174.30625,-42.5234375,0.00134
174.315625,-42.5234375,0.0013
174.325,-42.5234375,0.00126
174.334375,-42.5234375,0.00123
174.34375,-42.5234375,0.00119
174.353125,-42.5234375,0.00115
174.3625,-42.5234375,0.00111
174.371875,-42.5234375,0.00108
174.38125,-42.5234375,0.00104
174.390625,-42.5234375,0.001
174.4,-42.5234375,0.00097
174.409375,-42.5234375,0.00094
174.41875,-42.5234375,0.00091
174.428125,-42.5234375,0.00089
174.4375,-42.5234375,0.00086
174.446875,-42.5234375,0.00084
174.45625,-42.5234375,0.00081
174.465625,-42.5234375,0.00079
174.475,-42.5234375,0.00076
174.484375,-42.5234375,0.00074
174.49375,-42.5234375,0.00071
174.503125,-42.5234375,0.00068
174.5125,-42.5234375,0.00066
174.521875,-42.5234375,0.00063
174.53125,-42.5234375,0.00061
174.540625,-42.5234375,0.00058
173.696875,-42.515625,-0.00659
173.70625,-42.515625,-0.0069
173.715625,-42.515625,-0.00722
173.725,-42.515625,-0.00748
173.734375,-42.515625,-0.0076
173.74375,-42.515625,-0.00771
173.753125,-42.515625,-0.00782
173.7625,-42.515625,-0.00794
173.771875,-42.515625,-0.00782
173.78125,-42.515625,-0.00771
173.790625,-42.515625,-0.00759
173.8,-42.515625,-0.00747
173.809375,-42.515625,-0.00718
173.81875,-42.515625,-0.00688
173.828125,-42.515625,-0.00658
173.8375,-42.515625,-0.00628
173.846875,-42.515625,-0.00589
173.85625,-42.515625,-0.0055
173.865625,-42.515625,-0.00511
173.875,-42.515625,-0.00472
173.884375,-42.515625,-0.00432
173.89375,-42.515625,-0.00392
173.903125,-42.515625,-0.00352
173.9125,-42.515625,-0.00312
173.921875,-42.515625,-0.00276
173.93125,-42.515625,-0.0024
173.940625,-42.515625,-0.00204
173.95,-42.515625,-0.00168
173.959375,-42.515625,-0.00138
173.96875,-42.515625,-0.00109
173.978125,-42.515625,-0.00079
173.9875,-42.515625,-0.0005
173.996875,-42.515625,-0.00027
174.00625,-42.515625,-0.00004
174.015625,-42.515625,0.00018
174.025,-42.515625,0.00041
174.034375,-42.515625,0.00057
174.04375,-42.515625,0.00074
174.053125,-42.515625,0.0009
174.0625,-42.515625,0.00106
174.071875,-42.515625,0.00117
174.08125,-42.515625,0.00127
174.090625,-42.515625,0.00138
174.1,-42.515625,0.00149
174.109375,-42.515625,0.00153
174.11875,-42.515625,0.00157
174.128125,-42.515625,0.00161
174.1375,-42.515625,0.00164
174.146875,-42.515625,0.00163
174.15625,-42.515625,0.00162
174.165625,-42.515625,0.00161
174.175,-42.515625,0.00159
174.184375,-42.515625,0.0016
174.19375,-42.515625,0.00161
174.203125,-42.515625,0.00162
174.2125,-42.515625,0.00163
174.221875,-42.515625,0.00163
174.23125,-42.515625,0.00164
174.240625,-42.515625,0.00165
174.25,-42.515625,0.00166
174.259375,-42.515625,0.00162
174.26875,-42.515625,0.00158
174.278125,-42.515625,0.00154
174.2875,-42.515625,0.0015
174.296875,-42.515625,0.00146
174.30625,-42.515625,0.00142
174.315625,-42.515625,0.00138
174.325,-42.515625,0.00134
174.334375,-42.515625,0.0013
174.34375,-42.515625,0.00126
174.353125,-42.515625,0.00122
174.3625,-42.515625,0.00118
174.371875,-42.515625,0.00114
174.38125,-42.515625,0.0011
174.390625,-42.515625,0.00106
174.4,-42.515625,0.00102
174.409375,-42.515625,0.00099
174.41875,-42.515625,0.00096
174.428125,-42.515625,0.00094
174.4375,-42.515625,0.00091
174.446875,-42.515625,0.00088
174.45625,-42.515625,0.00085
174.465625,-42.515625,0.00083
174.475,-42.515625,0.0008
174.484375,-42.515625,0.00077
174.49375,-42.515625,0.00075
174.503125,-42.515625,0.00072
174.5125,-42.515625,0.00069
174.521875,-42.515625,0.00066
174.53125,-42.515625,0.00064
174.540625,-42.515625,0.00061
173.696875,-42.5078125,-0.00722
173.70625,-42.5078125,-0.00756
173.715625,-42.5078125,-0.0079
173.725,-42.5078125,-0.0082
173.734375,-42.5078125,-0.00833
173.74375,-42.5078125,-0.00845
173.753125,-42.5078125,-0.00858
