lon,lat,de,dn
172.525,-42.90625,0.00443,0.00424
172.5625,-42.90625,0.00432,0.00427
172.6,-42.90625,0.00421,0.00429
172.6375,-42.90625,0.00408,0.00432
172.675,-42.90625,0.00395,0.00435
172.7125,-42.90625,0.00382,0.00438
172.75,-42.90625,0.00369,0.00441
172.7875,-42.90625,0.0035,0.00451
172.825,-42.90625,0.00331,0.00461
172.8625,-42.90625,0.00311,0.00472
172.9,-42.90625,0.00292,0.00482
172.9375,-42.90625,0.00252,0.00493
172.975,-42.90625,0.00212,0.00503
173.0125,-42.90625,0.00171,0.00514
173.05,-42.90625,0.00131,0.00524
173.0875,-42.90625,0.00068,0.005
173.125,-42.90625,0.00004,0.00475
173.1625,-42.90625,-0.00059,0.00451
173.2,-42.90625,-0.00123,0.00427
173.2375,-42.90625,-0.00144,0.00365
173.275,-42.90625,-0.00165,0.00303
173.3125,-42.90625,-0.00187,0.00241
173.35,-42.90625,-0.00208,0.00179
173.3875,-42.90625,-0.00209,0.00126
173.425,-42.90625,-0.0021,0.00072
173.4625,-42.90625,-0.00212,0.00018
173.5,-42.90625,-0.00213,-0.00036
173.5375,-42.90625,-0.00212,-0.00061
173.575,-42.90625,-0.00211,-0.00087
173.6125,-42.90625,-0.0021,-0.00112
173.65,-42.90625,-0.00209,-0.00138
173.6875,-42.90625,-0.0021,-0.00141
173.725,-42.90625,-0.00211,-0.00144
173.7625,-42.90625,-0.00212,-0.00147
173.8,-42.90625,-0.00213,-0.0015
173.8375,-42.90625,-0.00217,-0.00144
173.875,-42.90625,-0.00221,-0.00138
173.9125,-42.90625,-0.00225,-0.00132
173.95,-42.90625,-0.00229,-0.00126
173.9875,-42.90625,-0.00233,-0.0012
174.025,-42.90625,-0.00237,-0.00114
174.0625,-42.90625,-0.00241,-0.00108
174.1,-42.90625,-0.00245,-0.00102
174.1375,-42.90625,-0.00247,-0.00097
174.175,-42.90625,-0.00248,-0.00093
174.2125,-42.90625,-0.0025,-0.00089
174.25,-42.90625,-0.00252,-0.00084
174.2875,-42.90625,-0.00251,-0.00081
174.325,-42.90625,-0.0025,-0.00077
174.3625,-42.90625,-0.0025,-0.00074
174.4,-42.90625,-0.00249,-0.00071
174.4375,-42.90625,-0.00247,-0.00067
174.475,-42.90625,-0.00245,-0.00064
174.5125,-42.90625,-0.00244,-0.0006
174.55,-42.90625,-0.00242,-0.00057
174.5875,-42.90625,-0.00239,-0.00053
174.625,-42.90625,-0.00237,-0.00049
174.6625,-42.90625,-0.00235,-0.00045
174.7,-42.90625,-0.00233,-0.00041
174.7375,-42.90625,-0.0023,-0.00037
174.775,-42.90625,-0.00228,-0.00033
174.8125,-42.90625,-0.00226,-0.00029
174.85,-42.90625,-0.00224,-0.00025
174.8875,-42.90625,-0.00222,-0.00022
174.925,-42.90625,-0.0022,-0.00018
174.9625,-42.90625,-0.00218,-0.00014
172.525,-42.875,0.00491,0.00462
172.5625,-42.875,0.00479,0.00464
172.6,-42.875,0.00468,0.00467
172.6375,-42.875,0.00455,0.0047
172.675,-42.875,0.00441,0.00474
172.7125,-42.875,0.00428,0.00477
172.75,-42.875,0.00415,0.0048
172.7875,-42.875,0.00395,0.00492
172.825,-42.875,0.00375,0.00504
172.8625,-42.875,0.00356,0.00516
172.9,-42.875,0.00336,0.00528
172.9375,-42.875,0.00292,0.00541
172.975,-42.875,0.00247,0.00555
173.0125,-42.875,0.00203,0.00568
173.05,-42.875,0.00159,0.00582
173.0875,-42.875,0.00087,0.00556
173.125,-42.875,0.00016,0.00531
173.1625,-42.875,0.00017,0.00437
