lon,lat,de,dn
172.91875,-42.703125,0.00027,0.00251
172.928125,-42.703125,0.00015,0.00252
172.9375,-42.703125,0.00002,0.00253
172.946875,-42.703125,-0.0001,0.00259
172.95625,-42.703125,-0.00023,0.00266
172.965625,-42.703125,-0.00036,0.00272
172.975,-42.703125,-0.00049,0.00279
172.984375,-42.703125,-0.00063,0.00313
172.99375,-42.703125,-0.00077,0.00347
173.003125,-42.703125,-0.00092,0.00381
173.0125,-42.703125,-0.00106,0.00416
173.021875,-42.703125,-0.00136,0.00481
173.03125,-42.703125,-0.00166,0.00546
173.040625,-42.703125,-0.00196,0.00611
173.05,-42.703125,-0.00226,0.00676
173.059375,-42.703125,-0.00268,0.00721
173.06875,-42.703125,-0.0031,0.00767
173.078125,-42.703125,-0.00352,0.00812
173.0875,-42.703125,-0.00393,0.00858
173.096875,-42.703125,-0.00425,0.00865
173.10625,-42.703125,-0.00457,0.00872
173.115625,-42.703125,-0.00489,0.00879
173.125,-42.703125,-0.0052,0.00887
173.134375,-42.703125,-0.00538,0.00871
173.14375,-42.703125,-0.00555,0.00856
173.153125,-42.703125,-0.00572,0.0084
173.1625,-42.703125,-0.00589,0.00825
173.171875,-42.703125,-0.00596,0.00799
173.18125,-42.703125,-0.00603,0.00772
173.190625,-42.703125,-0.00609,0.00746
173.2,-42.703125,-0.00616,0.00719
173.209375,-42.703125,-0.00614,0.00686
173.21875,-42.703125,-0.00612,0.00652
173.228125,-42.703125,-0.0061,0.00619
173.2375,-42.703125,-0.00608,0.00585
173.246875,-42.703125,-0.00601,0.00549
173.25625,-42.703125,-0.00593,0.00512
173.265625,-42.703125,-0.00585,0.00475
173.275,-42.703125,-0.00578,0.00439
173.284375,-42.703125,-0.00566,0.00401
173.29375,-42.703125,-0.00555,0.00364
173.303125,-42.703125,-0.00543,0.00327
173.3125,-42.703125,-0.00531,0.0029
173.321875,-42.703125,-0.00517,0.00254
173.33125,-42.703125,-0.00502,0.00219
173.340625,-42.703125,-0.00487,0.00183
173.35,-42.703125,-0.00473,0.00148
173.359375,-42.703125,-0.00455,0.00117
173.36875,-42.703125,-0.00438,0.00086
173.378125,-42.703125,-0.00421,0.00055
173.3875,-42.703125,-0.00404,0.00024
173.396875,-42.703125,-0.00386,-0.00001
173.40625,-42.703125,-0.00368,-0.00026
173.415625,-42.703125,-0.00349,-0.00051
173.425,-42.703125,-0.00331,-0.00075
173.434375,-42.703125,-0.00313,-0.00094
173.44375,-42.703125,-0.00294,-0.00112
173.453125,-42.703125,-0.00276,-0.0013
173.4625,-42.703125,-0.00258,-0.00148
173.471875,-42.703125,-0.0024,-0.00159
173.48125,-42.703125,-0.00222,-0.0017
173.490625,-42.703125,-0.00205,-0.00181
173.5,-42.703125,-0.00187,-0.00192
173.509375,-42.703125,-0.00171,-0.00195
173.51875,-42.703125,-0.00154,-0.00198
173.528125,-42.703125,-0.00138,-0.00201
173.5375,-42.703125,-0.00121,-0.00204
173.546875,-42.703125,-0.00108,-0.00201
173.55625,-42.703125,-0.00095,-0.00197
173.565625,-42.703125,-0.00082,-0.00194
173.575,-42.703125,-0.00069,-0.0019
173.584375,-42.703125,-0.0006,-0.00181
173.59375,-42.703125,-0.0005,-0.00172
173.603125,-42.703125,-0.00041,-0.00162
173.6125,-42.703125,-0.00032,-0.00153
173.621875,-42.703125,-0.00026,-0.00139
173.63125,-42.703125,-0.00021,-0.00126
173.640625,-42.703125,-0.00015,-0.00112
173.65,-42.703125,-0.0001,-0.00098
173.659375,-42.703125,-0.00008,-0.00081
173.66875,-42.703125,-0.00005,-0.00064
173.678125,-42.703125,-0.00003,-0.00048
173.6875,-42.703125,-0.00001,-0.00031
173.696875,-42.703125,-0.00001,-0.00023
173.70625,-42.703125,-0,-0.00015
173.715625,-42.703125,-0,-0.00008
173.725,-42.703125,0,0
173.734375,-42.703125,0,0
172.91875,-42.6953125,0.00039,0.00254
172.928125,-42.6953125,0.00025,0.00253
172.9375,-42.6953125,0.00011,0.00252
172.946875,-42.6953125,-0.00003,0.00256
172.95625,-42.6953125,-0.00017,0.0026
172.965625,-42.6953125,-0.00031,0.00263
172.975,-42.6953125,-0.00046,0.00267
172.984375,-42.6953125,-0.00061,0.00304
172.99375,-42.6953125,-0.00076,0.0034
173.003125,-42.6953125,-0.00091,0.00377
173.0125,-42.6953125,-0.00109,0.00422
173.021875,-42.6953125,-0.00135,0.00488
173.03125,-42.6953125,-0.00167,0.00561
173.040625,-42.6953125,-0.00202,0.00637
173.05,-42.6953125,-0.00243,0.0071
173.059375,-42.6953125,-0.00288,0.00773
173.06875,-42.6953125,-0.00336,0.00826
173.078125,-42.6953125,-0.00383,0.00868
173.0875,-42.6953125,-0.0043,0.00919
173.096875,-42.6953125,-0.00463,0.00924
173.10625,-42.6953125,-0.00495,0.00928
173.115625,-42.6953125,-0.00528,0.00933
173.125,-42.6953125,-0.00561,0.00937
173.134375,-42.6953125,-0.00576,0.00918
173.14375,-42.6953125,-0.00592,0.00898
173.153125,-42.6953125,-0.00607,0.00878
173.1625,-42.6953125,-0.00622,0.00858
173.171875,-42.6953125,-0.00627,0.00828
173.18125,-42.6953125,-0.00631,0.00798
173.190625,-42.6953125,-0.00636,0.00768
173.2,-42.6953125,-0.00641,0.00738
173.209375,-42.6953125,-0.00637,0.00702
173.21875,-42.6953125,-0.00634,0.00666
173.228125,-42.6953125,-0.00631,0.0063
