lon,lat,de,dn,du
170.95,-43.875,0,0,0
171.1,-43.875,0,0,0
171.25,-43.875,0,0,0
171.4,-43.875,0,0,0
171.55,-43.875,0,0,0
171.7,-43.875,0,0,0
171.85,-43.875,0,0,0
172,-43.875,0,0,0
172.15,-43.875,0,0,0
172.3,-43.875,0,0,0
172.45,-43.875,0,0,0
172.6,-43.875,0,0,0
172.75,-43.875,0,0,0
172.9,-43.875,0,0,0
173.05,-43.875,0,0,0
173.2,-43.875,0,0,0
173.35,-43.875,0,0,0
173.5,-43.875,0,0,0
173.65,-43.875,0,0,0
173.8,-43.875,0,0,0
173.95,-43.875,0,0,0
174.1,-43.875,0,0,0
174.25,-43.875,0,0,0
174.4,-43.875,0,0,0
174.55,-43.875,0,0,0
174.7,-43.875,0,0,0
174.85,-43.875,0,0,0
175,-43.875,0,0,0
175.15,-43.875,0,0,0
175.3,-43.875,0,0,0
175.45,-43.875,0,0,0
175.6,-43.875,0,0,0
175.75,-43.875,0,0,0
175.9,-43.875,0,0,0
176.05,-43.875,0,0,0
176.2,-43.875,0,0,0
176.35,-43.875,0,0,0
176.5,-43.875,0,0,0
170.95,-43.75,0,0,0
171.1,-43.75,0,0,0
171.25,-43.75,0,0,0
171.4,-43.75,0,0,0
171.55,-43.75,1.3953712e-05,-2.6340188e-05,-4.30598e-06
171.7,-43.75,2.0697038e-05,-4.570324e-05,-8.424822e-06
171.85,-43.75,2.3047144e-05,-6.427626e-05,-1.348356e-05
172,-43.75,2.1664622e-05,-8.4661284e-05,-2.0091244e-05
172.15,-43.75,1.6561926e-05,-0.000108570646,-2.876151e-05
172.3,-43.75,7.541728e-06,-0.000137665074,-4.00571e-05
172.45,-43.75,-5.628298e-06,-0.000173943208,-5.4669908e-05
172.6,-43.75,-2.3090388e-05,-0.000220025338,-7.3481388e-05
172.75,-43.75,-4.47428e-05,-0.000279314818,-9.7567148e-05
172.9,-43.75,-7.0029934e-05,-0.000355530572,-0.000127946876
173.05,-43.75,-9.7703156e-05,-0.000449254442,-0.0001642238
173.2,-43.75,-0.00012473846,-0.000539637824,-0.000197650736
173.35,-43.75,-0.000131040684,-0.000482546858,-0.000171009144
173.5,-43.75,-0.000141789502,-0.000439282216,-0.000149666304
173.65,-43.75,-0.000157535294,-0.000416597528,-0.0001368419
173.8,-43.75,-0.000175111394,-0.000402746998,-0.000128336632
173.95,-43.75,-0.000190806342,-0.000387850076,-0.000120689376
174.1,-43.75,-0.000200557392,-0.000365118966,-0.000111619306
174.25,-43.75,-0.000199788464,-0.00032976427,-9.9554252e-05
174.4,-43.75,-0.000183358642,-0.000277993958,-8.3234858e-05
174.55,-43.75,-0.000145932968,-0.000206427496,-6.150505e-05
174.7,-43.75,-8.3718122e-05,-0.000112735644,-3.3507802e-05
174.85,-43.75,0,0,0
175,-43.75,0,0,0
175.15,-43.75,0,0,0
175.3,-43.75,0,0,0
175.45,-43.75,0,0,0
175.6,-43.75,0,0,0
175.75,-43.75,0,0,0
175.9,-43.75,0,0,0
176.05,-43.75,0,0,0
176.2,-43.75,0,0,0
176.35,-43.75,0,0,0
176.5,-43.75,0,0,0
170.95,-43.625,0,0,0
171.1,-43.625,0,0,0
171.25,-43.625,0,0,0
171.4,-43.625,1.826326e-05,-2.7295968e-05,-3.424402e-06
