lon,lat,de,dn,du
158.8,-52.5,0.0,0.0,0.0
158.8375,-52.5,0.0,0.0,0.0
158.875,-52.5,0.0,0.0,0.0
158.9125,-52.5,0.0,0.0,0.0
158.95,-52.5,0.0,0.0,0.0
158.9875,-52.5,0.0,0.0,0.0
159.025,-52.5,0.0,0.0,0.0
159.0625,-52.5,0.0,0.0,0.0
159.1,-52.5,0.0,0.0,0.0
159.1375,-52.5,0.0,0.0,0.0
159.175,-52.5,0.0,0.0,0.0
159.2125,-52.5,0.0,0.0,0.0
159.25,-52.5,0.0,0.0,0.0
159.2875,-52.5,0.0,0.0,0.0
159.325,-52.5,0.0,0.0,0.0
159.3625,-52.5,0.0,0.0,0.0
159.4,-52.5,0.0,0.0,0.0
159.4375,-52.5,0.0,0.0,0.0
159.475,-52.5,0.0,0.0,0.0
159.5125,-52.5,0.0,0.0,0.0
159.55,-52.5,0.0,0.0,0.0
159.5875,-52.5,0.0,0.0,0.0
159.625,-52.5,0.0,0.0,0.0
159.6625,-52.5,0.0,0.0,0.0
159.7,-52.5,0.0,0.0,0.0
159.7375,-52.5,0.0,0.0,0.0
159.775,-52.5,0.0,0.0,0.0
159.8125,-52.5,0.0,0.0,0.0
159.85,-52.5,0.0,0.0,0.0
159.8875,-52.5,0.0,0.0,0.0
159.925,-52.5,0.0,0.0,0.0
159.9625,-52.5,0.0,0.0,0.0
160,-52.5,0.0,0.0,0.0
160.0375,-52.5,0.0,0.0,0.0
160.075,-52.5,0.0,0.0,0.0
160.1125,-52.5,0.0,0.0,0.0
160.15,-52.5,0.0,0.0,0.0
160.1875,-52.5,0.0,0.0,0.0
160.225,-52.5,0.0,0.0,0.0
160.2625,-52.5,0.0,0.0,0.0
160.3,-52.5,0.0,0.0,0.0
160.3375,-52.5,0.0,0.0,0.0
160.375,-52.5,0.0,0.0,0.0
160.4125,-52.5,0.0,0.0,0.0
160.45,-52.5,0.0,0.0,0.0
160.4875,-52.5,0.0,0.0,0.0
160.525,-52.5,0.0,0.0,0.0
160.5625,-52.5,0.0,0.0,0.0
160.6,-52.5,0.0,0.0,0.0
160.6375,-52.5,0.0,0.0,0.0
160.675,-52.5,0.0,0.0,0.0
160.7125,-52.5,0.0,0.0,0.0
160.75,-52.5,0.0,0.0,0.0
160.7875,-52.5,0.0,0.0,0.0
160.825,-52.5,0.0,0.0,0.0
160.8625,-52.5,0.0,0.0,0.0
160.9,-52.5,0.0,0.0,0.0
160.9375,-52.5,0.0,0.0,0.0
160.975,-52.5,0.0,0.0,0.0
161.0125,-52.5,0.0,0.0,0.0
161.05,-52.5,0.0,0.0,0.0
161.0875,-52.5,0.0,0.0,0.0
161.125,-52.5,0.0,0.0,0.0
161.1625,-52.5,0.0,0.0,0.0
161.2,-52.5,0.0,0.0,0.0
161.2375,-52.5,0.0,0.0,0.0
161.275,-52.5,0.0,0.0,0.0
161.3125,-52.5,0.0,0.0,0.0
161.35,-52.5,0.0,0.0,0.0
161.3875,-52.5,0.0,0.0,0.0
161.425,-52.5,0.0,0.0,0.0
161.4625,-52.5,0.0,0.0,0.0
161.5,-52.5,0.0,0.0,0.0
161.5375,-52.5,0.0,0.0,0.0
161.575,-52.5,0.0,0.0,0.0
161.6125,-52.5,0.0,0.0,0.0
161.65,-52.5,0.0,0.0,0.0
161.6875,-52.5,0.0,0.0,0.0
161.725,-52.5,0.0,0.0,0.0
161.7625,-52.5,0.0,0.0,0.0
